lake,coreDepthTop,coreDepthBot,ageTop,ageBot,charCount,volume,charConc,charAcc,charBkg,charPeak,thresh1,thresh2,thres3,treshPos,threshNeg,SNI,threshGOF,peaks1,peaks2,peaks3,peaksFinal,peaksInsig,peakMag,smPeak
DU15,0,1.0333,-65,-60,0,1.17,0,0,0.15817,-0.15817,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,3.4306
DU15,1.0333,1.7632,-60,-55,0.44,0.52,0.77333,0.11288,0.15525,-0.042375,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,3.387
DU15,1.7632,2.9667,-55,-50,4.6,2.46,2.0133,0.48461,0.15237,0.33225,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,3.3414
DU15,2.9667,3.7708,-50,-45,2.14,1.36,2.1267,0.34204,0.14951,0.19252,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,3.293
DU15,3.7708,4.2917,-45,-40,2,0.76,3.92,0.40833,0.14671,0.26163,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,1,1,1,0,3.677,3.2415
DU15,4.2917,4.8289,-40,-35,2.56,1.3,1.84,0.19772,0.14395,0.053772,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,1,0,0,0,0,0,3.187
DU15,4.8289,5.4737,-35,-30,0.52,1.7,0.34667,0.044702,0.14124,-0.096539,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,3.1304
DU15,5.4737,6.125,-30,-25,1.9,1.78,1.3933,0.1815,0.13859,0.042912,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,3.0725
DU15,6.125,6.7976,-25,-20,4.28,1.88,2.6267,0.35335,0.13599,0.21736,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,1,0.6516,3.0152
DU15,6.7976,7.381,-20,-15,1.8,2.12,0.6,0.07,0.13345,-0.063451,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,2.9609
DU15,7.381,8.0119,-15,-10,6.32,3,2.1067,0.26584,0.13097,0.13487,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,1,1,1,1,0,0.23917,2.9098
DU15,8.0119,8.5833,-10,-5,0.92,2.08,0.92,0.10514,0.12854,-0.023395,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,2.8369
DU15,8.5833,9.0484,-5,0,3.6,2.88,1.2,0.11161,0.12616,-0.014546,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,2.7628
DU15,9.0484,9.4732,0,5,0,2.5,0,0,0.12382,-0.12382,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,2.6857
DU15,9.4732,9.9375,5,10,7.7,2.58,2.6367,0.24483,0.12153,0.12331,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,2.6069
DU15,9.9375,10.3548,10,15,3.4,1.14,3.33,0.27795,0.11926,0.15869,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,1,1,1,1,0,0.64749,2.5292
DU15,10.3548,10.7885,15,20,1.16,1.72,0.72,0.062442,0.11701,-0.054573,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,2.4507
DU15,10.7885,11.4063,20,25,1.32,2.44,0.44,0.054365,0.11477,-0.060407,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,2.3657
DU15,11.4063,12.03,25,30,0,2.88,0,0,0.11251,-0.11251,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,2.2721
DU15,12.03,12.5455,30,35,1.44,2.92,0.48,0.049484,0.11021,-0.060731,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,2.1726
DU15,12.5455,13.0556,35,40,0,2,0,0,0.10785,-0.10785,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,2.071
DU15,13.0556,13.5568,40,45,0.1,1.9,0.1,0.010025,0.10539,-0.095361,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.9691
DU15,13.5568,14.0769,45,50,0.84,1.66,0.59,0.061372,0.1028,-0.04143,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.8676
DU15,14.0769,14.6875,50,55,2.8,2.64,0.93333,0.11397,0.10008,0.013892,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.7699
DU15,14.6875,15.3462,55,60,3.9,3,1.3,0.17125,0.097265,0.073985,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.679
DU15,15.3462,15.8229,60,65,1.9,3,0.63333,0.06039,0.094513,-0.034123,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.6009
DU15,15.8229,16.3173,65,70,2,3,0.66667,0.065919,0.093653,-0.027734,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.541
DU15,16.3173,16.8043,70,75,3,3,1,0.097408,0.093196,0.0042122,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.5047
DU15,16.8043,17.3173,75,80,7.02,3,2.34,0.24007,0.093078,0.14699,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,1,1,1,0,0.29974,1.4947
DU15,17.3173,17.8077,80,85,5,3,1.6667,0.16346,0.093234,0.070228,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.5047
DU15,17.8077,18.31,85,90,4.4,3,1.4667,0.14734,0.093604,0.053739,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,1,0,0,0,0,0,1.5229
DU15,18.31,18.8077,90,95,2.26,3,0.75333,0.074986,0.094127,-0.019141,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.5432
DU15,18.8077,19.2946,95,100,2.3,3,0.76667,0.074666,0.09475,-0.020084,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.5632
DU15,19.2946,19.75,100,105,0,2.46,0,0,0.095434,-0.095434,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.5796
DU15,19.75,20.25,105,110,0,3,0,0,0.096135,-0.096135,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.5867
DU15,20.25,20.7609,110,115,1.02,2.52,0.42,0.042913,0.096825,-0.053912,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.5779
DU15,20.7609,21.2692,115,120,1.6,3,0.53333,0.054225,0.097493,-0.043267,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.5515
DU15,21.2692,21.75,120,125,2.4,3,0.8,0.076923,0.098142,-0.021219,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.5087
DU15,21.75,22.22,125,130,1.12,3,0.37333,0.035093,0.09877,-0.063677,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.4568
DU15,22.22,22.7604,130,135,3.48,3,1.16,0.12538,0.099364,0.026013,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.4052
DU15,22.7604,23.27,135,140,9.46,2.96,3.2333,0.32953,0.099901,0.22963,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.3642
DU15,23.27,23.7708,140,145,6.68,2.54,3.1467,0.31519,0.10039,0.2148,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,1,1,1,1,0,1.6221,1.3425
DU15,23.7708,24.2788,145,150,3.12,3,1.04,0.10567,0.10089,0.0047766,0.051729,0.087039,0.12627,0.087039,-0.19549,3.3015,-999,0,0,0,0,0,0,1.3408
