lake,coreDepthTop,coreDepthBot,ageTop,ageBot,charCount,volume,charConc,charAcc,charBkg,charPeak,thresh1,thresh2,thres3,treshPos,threshNeg,SNI,threshGOF,peaks1,peaks2,peaks3,peaksFinal,peaksInsig,peakMag,smPeak
MA15,0,0.25521,-65,-60,4.08,2.02,2.0133,0.10276,0.0096932,0.093071,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,1.8525
MA15,0.25521,0.51087,-60,-55,7.52,3,2.5067,0.12817,0.013669,0.1145,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,1,0,0,1,0,0.20853,1.7311
MA15,0.51087,0.69203,-55,-50,0,3,0,0,0.017675,-0.017675,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,1.6086
MA15,0.69203,0.875,-50,-45,1.36,3,0.45333,0.016589,0.021704,-0.0051142,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,1.4851
MA15,0.875,1.0494,-45,-40,1.36,2.68,0.45333,0.015811,0.025746,-0.0099357,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,1.3606
MA15,1.0494,1.2037,-40,-35,0,2,0,0,0.029795,-0.029795,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,1.2353
MA15,1.2037,1.3608,-35,-30,3.5,2.7,1.1667,0.036646,0.03384,0.002806,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,1.1095
MA15,1.3608,1.5183,-30,-25,4.64,3,1.5467,0.04873,0.037875,0.010855,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.98392
MA15,1.5183,1.6707,-25,-20,2,3,0.66667,0.020325,0.041892,-0.021567,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.85923
MA15,1.6707,1.8241,-20,-15,1.04,2.52,0.34667,0.010632,0.045883,-0.035251,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.73634
MA15,1.8241,1.9784,-15,-10,0,2,0,0,0.049841,-0.049841,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.61441
MA15,1.9784,2.1265,-10,-5,1.72,2,0.86,0.025469,0.05376,-0.028291,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.50288
MA15,2.1265,2.2741,-5,0,1.68,2,0.84,0.024801,0.05764,-0.032839,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.39836
MA15,2.2741,2.4247,0,5,0,2,0,0,0.061482,-0.061482,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.30136
MA15,2.4247,2.5718,5,10,0.5,1.5,0.5,0.014714,0.065292,-0.050578,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.21379
MA15,2.5718,2.7155,10,15,1,1,1,0.028736,0.069083,-0.040347,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.13852
MA15,2.7155,2.8605,15,20,4.04,1,4.04,0.11712,0.072877,0.044241,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.078633
MA15,2.8605,3.0083,20,25,5.04,1.04,4.92,0.1455,0.076706,0.068796,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.03808
MA15,3.0083,3.2167,25,30,6,2,3,0.125,0.080613,0.044387,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.023526
MA15,3.2167,3.4221,30,35,6.84,2,3.42,0.14054,0.084646,0.055892,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.03799
MA15,3.4221,3.636,35,40,6.38,2,3.19,0.13643,0.088854,0.047572,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.077913
MA15,3.636,3.8654,40,45,5.52,2,2.76,0.12664,0.093265,0.033374,0.086409,0.12106,0.15571,0.086409,-0.14772,8.6999,-999,0,0,0,0,0,0,0.13581
