lake,coreDepthTop,coreDepthBot,ageTop,ageBot,charCount,volume,charConc,charAcc,charBkg,charPeak,thresh1,thresh2,thres3,treshPos,threshNeg,SNI,threshGOF,peaks1,peaks2,peaks3,peaksFinal,peaksInsig,peakMag,smPeak
TL15,0,0.4902,-65,-60,1,0.5,2,0.19608,0.070116,0.12596,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.8212
TL15,0.4902,0.9537,-60,-55,20.6,0.5,41.2,3.8193,0.068202,3.7511,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.7135
TL15,0.9537,1.1389,-55,-50,12.9,2.75,7.8,0.28889,0.066297,0.22259,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,1,1,1,1,0,26.4116,1.6048
TL15,1.1389,1.2932,-50,-45,12,3,4,0.12346,0.064404,0.059053,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.4948
TL15,1.2932,1.4475,-45,-40,12,3,4,0.12346,0.06252,0.060937,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.3834
TL15,1.4475,1.5982,-40,-35,4.08,1.68,1.36,0.040986,0.060645,-0.019659,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.2708
TL15,1.5982,1.747,-35,-30,0,1,0,0,0.058776,-0.058776,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.1569
TL15,1.747,1.8892,-30,-25,0,1.98,0,0,0.056909,-0.056909,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.0422
TL15,1.8892,2.019,-25,-20,0,2,0,0,0.055044,-0.055044,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.92737
TL15,2.019,2.1052,-20,-15,0,2,0,0,0.053181,-0.053181,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.81348
TL15,2.1052,2.1914,-15,-10,0,2,0,0,0.05132,-0.05132,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.70057
TL15,2.1914,2.278,-10,-5,8.96,2.32,2.9867,0.051725,0.049465,0.00226,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.5893
TL15,2.278,2.3654,-5,0,28,3,9.3333,0.16317,0.047619,0.11555,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.48451
TL15,2.3654,2.4528,0,5,28,3,9.3333,0.16317,0.045789,0.11738,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0.091285,0.38572
TL15,2.4528,2.5599,5,10,17.88,3,5.96,0.12766,0.043978,0.083683,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,1,0,0,0,0,0,0.29339
TL15,2.5599,2.6901,10,15,6,3,2,0.052083,0.042192,0.0098909,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.20938
TL15,2.6901,2.8226,15,20,6.54,2.46,2.81,0.074452,0.040436,0.034016,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.13653
TL15,2.8226,2.957,20,25,7,2,3.5,0.094086,0.038713,0.055373,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.078004
TL15,2.957,3.1371,25,30,6.32,2.68,2.48,0.089333,0.03703,0.052304,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.03627
TL15,3.1371,3.3538,30,35,3.36,2.56,1.12,0.048536,0.035388,0.013147,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.011763
TL15,3.3538,3.6105,35,40,0,1.62,0,0,0.033792,-3.38E-02,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.0017199
TL15,3.6105,3.9125,40,45,1.04,1.52,0.52,0.031412,0.032245,-0.0008329,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0
TL15,3.9125,4.2368,45,50,0.56,2.72,0.28,0.018163,0.030749,-0.012585,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.0017199
TL15,4.2368,4.5962,50,55,0,3,0,0,0.029308,-0.029308,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.011763
TL15,4.5962,4.9306,55,60,0,3,0,0,0.027928,-0.027928,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.03627
TL15,4.9306,5.2703,60,65,0,3,0,0,0.026613,-0.026613,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.077913
TL15,5.2703,5.6111,65,70,0,2.68,0,0,0.025366,-0.025366,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.13581
TL15,5.6111,5.9706,70,75,0,2.6,0,0,0.024177,-0.024177,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.20667
TL15,5.9706,6.2905,75,80,0.12,3,0.04,0.0025596,0.023259,-0.020699,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.28627
TL15,6.2905,6.625,80,85,0.62,3,0.20667,0.013824,0.022064,-0.00824,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.37063
TL15,6.625,6.9653,85,90,0,3,0,0,0.021109,-0.021109,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.45679
TL15,6.9653,7.3125,90,95,1.44,3,0.48,0.033333,0.020146,0.013187,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.54321
TL15,7.3125,7.6554,95,100,0,3,0,0,0.019212,-0.019212,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.62937
TL15,7.6554,8.0135,100,105,0.04,3,0.013333,0.00095495,0.01835,-0.017395,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.71373
TL15,8.0135,8.3571,105,110,0.7,3,0.23333,0.016036,0.017607,-0.0015712,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.79333
TL15,8.3571,8.7083,110,115,0.6,3,0.2,0.014048,0.017021,-0.0029732,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.86419
TL15,8.7083,9.0461,115,120,1.14,3,0.38,0.025667,0.016615,0.0090516,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.92209
TL15,9.0461,9.375,120,125,1.24,3,0.41333,0.027193,0.016395,0.010798,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.96373
TL15,9.375,9.6987,125,130,0,3,0,0,0.016349,-0.016349,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.98824
TL15,9.6987,10.0188,130,135,1.92,3,0.64,0.040964,0.016461,0.024503,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.99828
TL15,10.0188,10.3333,135,140,16.4,2.74,5.8567,0.36848,0.017009,0.35147,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1
TL15,10.3333,10.6622,140,145,9.48,2.48,3.94,0.25912,0.017302,0.24182,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,1,1,1,0,0,1
TL15,10.6622,10.9872,145,150,6.3,3,2.1,0.13651,0.017724,0.11878,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,2.6985,0.99828
TL15,10.9872,11.3205,150,155,5.52,3,1.84,0.12267,0.018261,0.10441,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,1,0,0,0,0,0,0.98824
TL15,11.3205,11.6618,155,160,2.24,2.56,0.74667,0.05096,0.018892,0.032068,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.96373
TL15,11.6618,12,160,165,0.76,2.76,0.25333,0.017137,0.019596,-0.0024592,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.92209
TL15,12,12.325,165,170,0,3,0,0,0.020349,-0.020349,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.86419
TL15,12.325,12.6618,170,175,0.44,3,0.14667,0.0098784,0.02113,-0.011251,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.79505
TL15,12.6618,13.0068,175,180,0.24,3,0.08,0.0055199,0.021922,-0.016402,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.72549
TL15,13.0068,13.3421,180,185,0,3,0,0,0.022711,-0.022711,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.66564
TL15,13.3421,13.6711,185,190,0,3,0,0,0.023488,-0.023488,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.62112
TL15,13.6711,14.0066,190,195,0.02,3,0.0066667,0.00044737,0.024252,-0.023804,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.5926
TL15,14.0066,14.3333,195,200,0.74,3,0.24667,0.01612,0.024997,-0.0088776,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.57902
TL15,14.3333,14.6579,200,205,0,3,0,0,0.025724,-0.025724,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.58431
TL15,14.6579,15.0119,205,210,1.4,3,0.46667,0.033041,0.026433,0.0066077,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.61357
TL15,15.0119,15.311,210,215,2.2,3,0.73333,0.043864,0.027133,0.016731,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.67051
TL15,15.311,15.6357,215,220,4.72,3,1.5733,0.10218,0.027831,0.074353,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.75693
TL15,15.6357,15.9679,220,225,1,3,0.33333,0.022149,0.028537,-0.0063881,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.87231
TL15,15.9679,16.2838,225,230,3.5,3,1.1667,0.073695,0.029253,0.044442,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.0118
TL15,16.2838,16.6216,230,235,1.28,3,0.42667,0.028829,0.029969,-0.0011401,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.1657
TL15,16.6216,16.9487,235,240,1.24,3,0.41333,0.02704,0.030672,-0.0036321,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.321
TL15,16.9487,17.2838,240,245,0.32,2.26,0.10667,0.0071481,0.031346,-0.024198,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.4653
TL15,17.2838,17.6216,245,250,0.36,3,0.12,0.0081081,0.03197,-0.023861,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.5931
TL15,17.6216,17.9653,250,255,0.38,3,0.12667,0.008706,0.032525,-0.023819,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.702
TL15,17.9653,18.2885,255,260,1.14,3,0.38,0.024562,0.032998,-0.0084358,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.7916
TL15,18.2885,18.6149,260,265,5.72,3,1.9067,0.12447,0.033387,0.091082,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.8642
TL15,18.6149,18.9423,265,270,8.6,3,2.8667,0.18773,0.033704,0.15403,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,1,1,1,1,0,0.22585,1.9221
TL15,18.9423,19.2778,270,275,2.82,2.92,0.95333,0.063963,0.033967,0.029996,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.962
TL15,19.2778,19.6216,275,280,1.36,2.36,0.56,0.038511,0.034799,0.0037111,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.9765
TL15,19.6216,19.9595,280,285,2,3,0.66667,0.045045,0.03498,0.010065,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.962
TL15,19.9595,20.3015,285,290,4.14,2.86,1.66,0.11355,0.035093,0.078455,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.9221
TL15,20.3015,20.6474,290,295,6.94,2.46,3.3933,0.2348,0.035127,0.19967,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,1,1,1,1,0,0.45405,1.8642
TL15,20.6474,20.9625,295,300,1.68,3,0.56,0.035287,0.035077,0.00021008,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.7916
TL15,20.9625,21.3176,300,305,1.12,2.8,0.40667,0.028879,0.034952,-0.0060731,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.702
TL15,21.3176,21.6513,305,310,2.38,2.46,0.88333,0.058962,0.03476,0.024202,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.5931
TL15,21.6513,21.9931,310,315,1.2,3,0.4,0.027339,0.034512,-0.0071733,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.4653
TL15,21.9931,22.3176,315,320,2.34,2.02,1.17,0.075936,0.034224,0.041711,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.321
TL15,22.3176,22.6597,320,325,0,2.46,0,0,0.03391,-0.03391,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1.164
TL15,22.6597,23.0069,325,330,1.48,3,0.49333,0.034259,0.033577,0.00068248,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,1
TL15,23.0069,23.3487,330,335,2,3,0.66667,0.045565,0.033222,0.012343,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.83604
TL15,23.3487,23.6929,335,340,2,3,0.66667,0.04589,0.032839,0.013051,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.67901
TL15,23.6929,24.027,340,345,2.08,3,0.69333,0.046338,0.032215,0.014123,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.53471
TL15,24.027,24.3618,345,350,3,3,1,0.066963,0.031507,0.035456,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.4069
TL15,24.3618,24.6908,350,355,1.26,3,0.42,0.027632,0.030725,-0.0030939,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.29804
TL15,24.6908,25.0128,355,360,0,2.22,0,0,0.029888,-0.029888,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.20839
TL15,25.0128,25.3293,360,365,0,3,0,0,0.029006,-0.029006,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.13581
TL15,25.3293,25.6528,365,370,0.44,2.56,0.22,0.014234,0.028092,-0.013857,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.077913
TL15,25.6528,25.9868,370,375,0.28,2,0.14,0.0093538,0.027152,-0.017798,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.03627
TL15,25.9868,26.3456,375,380,0,2,0,0,0.026193,-0.026193,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.011763
TL15,26.3456,26.6908,380,385,0,2,0,0,0.025221,-0.025221,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0.0017199
TL15,26.6908,27.027,385,390,0.74,2,0.37,0.024882,0.024241,0.000641,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0
TL15,27.027,27.3562,390,395,1.36,2,0.68,0.044774,0.023256,0.021518,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0
TL15,27.3562,27.6985,395,400,4,2,2,0.13691,0.02227,0.11464,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,1,0,0,0,0,0.028913,0
TL15,27.6985,28.0347,400,405,0.86,1.24,0.43,0.028913,0.021286,0.0076265,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0
TL15,28.0347,28.375,405,410,1.86,2,0.93,0.063292,0.020305,0.042987,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0
TL15,28.375,28.7095,410,415,0,2,0,0,0.019327,-0.019327,0.07838,0.10886,0.13934,0.10886,-0.11959,14.1624,-999,0,0,0,0,0,0,0
