cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-65,-63.3,2,0
0.5,0.75,-63.3,-61.8,0.5,0
0.75,1,-61.8,-60.2,1,0
1,1.25,-60.2,-58.7,0.5,0
1.25,1.5,-58.7,-56.9,0.5,1
1.5,1.75,-56.9,-55.1,0.5,0
1.75,2,-55.1,-53.2,1.5,4
2,2.5,-53.2,-51.4,3,8
2.5,3,-51.4,-49.9,3,1
3,3.25,-49.9,-48.3,1,1
3.25,3.5,-48.3,-46.7,2,0
3.5,3.75,-46.7,-45.2,1,6
3.75,4,-45.2,-42.8,1,0
4,4.25,-42.8,-40.4,0.5,4
4.25,4.5,-40.4,-38,1,1
4.5,4.75,-38,-35.6,1.5,4
4.75,5,-35.6,-33.7,1.5,2
5,5.25,-33.7,-31.7,2,0
5.25,5.5,-31.7,-29.8,1.5,0
5.5,5.75,-29.8,-27.9,1,3
5.75,6,-27.9,-26,3,2
6,6.25,-26,-24,1,0
6.25,6.5,-24,-22.2,3,6
6.5,6.75,-22.2,-20.4,1,5
6.75,7,-20.4,-18.3,3,4
7,7.25,-18.3,-16.1,1,0
7.25,7.5,-16.1,-14,3,2
7.5,7.75,-14,-12.1,3,4
7.75,8,-12.1,-10.1,3,11
8,8.25,-10.1,-8,3,0
8.25,8.5,-8,-5.7,1,2
8.5,8.75,-5.7,-3.6,3,0
8.75,9,-3.6,-0.6,3,6
9,9.25,-0.6,2.5,2,0
9.25,9.5,2.5,5.3,3,0
9.5,9.75,5.3,7.9,3,14
9.75,10,7.9,10.7,2,1
10,10.25,10.7,13.7,1,5
10.25,10.5,13.7,16.8,1,1
10.5,10.75,16.8,19.6,2,1
10.75,11,19.6,22.2,3,3
11,11.25,22.2,24,2,0
11.25,11.5,24,25.6,2,0
11.5,11.75,25.6,27,3,0
11.75,12,27,29.7,3,0
12,12.25,29.7,32.2,3,0
12.25,12.5,32.2,34.6,3,3
12.5,12.75,34.6,36.8,2,0
12.75,13,36.8,39.4,2,0
13,13.25,39.4,42.1,2,0
13.25,13.5,42.1,44.5,2,0
13.5,13.75,44.5,46.7,1,1
13.75,14,46.7,49.2,2,1
14,14.25,49.2,51.8,2,0
14.25,14.5,51.8,54.1,3,1
