cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.25,-65,-60.1,2,4
0.25,0.5,-60.1,-55.3,3,8
0.5,0.75,-55.3,-48.4,3,0
0.75,1,-48.4,-41.6,3,2
1,1.25,-41.6,-33.5,2,0
1.25,1.5,-33.5,-25.6,3,5
1.5,1.75,-25.6,-17.4,3,2
1.75,2,-17.4,-9.3,2,0
2,2.25,-9.3,-0.8,2,2
2.25,2.5,-0.8,7.5,2,0
2.5,2.75,7.5,16.2,1,1
2.75,3,16.2,24.8,1,5
3,3.25,24.8,30.8,2,6
3.25,3.5,30.8,36.9,2,7
3.5,3.75,36.9,42.6,2,6
3.75,4,42.6,47.8,2,5
4,4.25,47.8,53.6,2,8
4.25,4.5,53.6,58.2,2,2
4.5,4.75,58.2,64.4,3,9
4.75,5,64.4,70,3,3
5,5.25,70,76.3,3,4
5.25,5.5,76.3,81.9,3,7
5.5,5.75,81.9,88.5,3,23
5.75,6,88.5,94.3,2,12
6,6.25,94.3,100.7,3,97
6.25,6.5,100.7,106.3,3,78
6.5,6.75,106.3,112.8,3,15
6.75,7,112.8,119,3,21
7,7.25,119,125.2,3,9
7.25,7.5,125.2,131.2,3,9
7.5,7.75,131.2,137.7,3,1
7.75,8,137.7,143.9,2,1
8,8.25,143.9,149.9,2,4
8.25,8.5,149.9,156,3,0
8.5,8.75,156,162,3,2
8.75,9,162,168.6,3,15
9,9.25,168.6,174.7,3,14
9.25,9.5,174.7,180.8,3,3
9.5,9.75,180.8,187.4,3,0
9.75,10,187.4,193.6,3,2
10,10.25,193.6,199.8,3,6
10.25,10.5,199.8,205.7,3,0
10.5,10.75,205.7,212.5,3,2
10.75,11,212.5,218.5,3,0
11,11.25,218.5,224.6,3,3
11.25,11.5,224.6,231,3,0
11.5,11.75,231,236.9,3,10
11.75,12,236.9,242.8,3,5
12,12.25,242.8,248.9,3,2
12.25,12.5,248.9,254.9,2,0
12.5,12.75,254.9,261.1,3,1
12.75,13,261.1,267.2,3,4
13,13.25,267.2,272.8,3,4
13.25,13.5,272.8,279,3,0
13.5,13.75,279,284.5,3,4
13.75,14,284.5,290.6,3,4
14,14.25,290.6,296,3,0
14.25,14.5,296,302.1,3,1
14.5,14.75,302.1,307.2,3,6
14.75,15,307.2,312.9,3,5
15,15.25,312.9,317.9,3,1
15.25,15.5,317.9,323.9,3,4
