cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.25,-64.8,-62.3,3,2
0.25,0.5,-62.3,-59.7,3,11
0.5,0.75,-59.7,-54.6,2,5
0.75,1,-54.6,-49.6,3,14
1,1.25,-49.6,-41,3,6
1.25,1.5,-41,-32.6,3,13
1.5,1.75,-32.6,-23.6,2,15
1.75,2,-23.6,-14.6,3,4
2,2.25,-14.6,-7.3,2,0
2.25,2.5,-7.3,-0.2,3,1
2.5,2.75,-0.2,6.2,3,5
2.75,3,6.2,12.1,3,4
3,3.25,12.1,18.6,3,11
3.25,3.5,18.6,24.4,3,3
3.5,3.75,24.4,32.3,1,0
3.75,4,32.3,38.6,3,4
4,4.25,38.6,47.3,2,6
4.25,4.5,47.3,54.4,2,3
4.5,4.75,54.4,63.5,2,0
4.75,5,63.5,71.5,2,2
5,5.25,71.5,80.1,2,4
5.25,5.5,80.1,88.3,2,6
5.5,5.75,88.3,96.8,3,5
5.75,6,96.8,105.3,3,7
6,6.25,105.3,113.9,3,11
6.25,6.5,113.9,122.6,3,5
6.5,6.75,122.6,131,3,19
6.75,7,131,139.5,3,7
7,7.25,139.5,147.8,3,18
7.25,7.5,147.8,156.3,3,41
7.5,7.75,156.3,165.4,3,33
7.75,8,165.4,174.1,3,15
8,8.25,174.1,182.9,3,9
8.25,8.5,182.9,191.8,3,6
8.5,8.75,191.8,200.5,3,13
8.75,9,200.5,209.1,3,3
9,9.25,209.1,218.2,3,4
9.25,9.5,218.2,226.8,3,14
9.5,9.75,226.8,235.8,3,6
9.75,10,235.8,244.6,3,2
10,10.25,244.6,254.1,3,1
10.25,10.5,254.1,263.3,3,8
10.5,10.75,263.3,272.1,3,7
10.75,11,272.1,281,1,0
11,11.25,281,289.4,3,3
11.25,11.5,289.4,298.3,3,18
11.5,11.75,298.3,306.6,3,10
11.75,12,306.6,315.6,3,70
12,12.25,315.6,324.2,3,71
12.25,12.5,324.2,333,3,125
12.5,12.75,333,342,2,33
12.75,13,342,351,3,54
13,13.25,351,360,3,42
13.25,13.5,360,369.3,3,18
13.5,13.75,369.3,377.8,3,12
13.75,14,377.8,386.5,3,9
14,14.25,386.5,394.6,3,34
14.25,14.5,394.6,403.1,3,61
14.5,14.75,403.1,412,3,35
14.75,15,412,420.7,3,10
15,15.25,420.7,429.2,3,4
15.25,15.5,429.2,438.3,3,2
15.5,15.75,438.3,446.8,3,0
15.75,16,446.8,455.8,3,10
16,16.25,455.8,464.5,3,7
16.25,16.5,464.5,474.2,3,45
16.5,16.75,474.2,482.1,3,66
16.75,17,482.1,491.2,3,119
17,17.25,491.2,498.5,3,110
17.25,17.5,498.5,506.9,3,40
17.5,17.75,506.9,510.6,2.5,20
17.75,18,510.6,520,3,15
