cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.75,-65,-50.5,3,6
0.75,1,-50.5,-46.4,1,5
1,1.25,-46.4,-42.1,2,2
1.25,1.5,-42.1,-37.9,2,1
1.5,1.75,-37.9,-31.5,1,1
1.75,2,-31.5,-25.7,2,2
2,2.25,-25.7,-16.7,2,1
2.25,2.5,-16.7,-9.2,2,0
2.5,2.75,-9.2,0.5,2,2
2.75,3,0.5,8.7,2,8
3,3.25,8.7,19.8,2,4
3.25,3.5,19.8,29.6,2,3
3.5,3.75,29.6,41.9,2,1
3.75,4,41.9,52.1,2,2
4,4.25,52.1,66.6,2,12
4.25,4.5,66.6,79.7,2,12
4.5,4.75,79.7,95.4,2,4
4.75,5,95.4,108.2,2,1
5,5.25,108.2,122.8,3,4
5.25,5.5,122.8,136.3,2,0
5.5,5.75,136.3,150.9,3,4
5.75,6,150.9,166.1,3,11
6,6.25,166.1,184.4,3,7
6.25,6.5,184.4,200.6,3,7
6.5,6.75,200.6,219.8,3,5
6.75,7,219.8,237.2,3,12
7,7.25,237.2,256.6,3,8
7.25,7.5,256.6,275.8,1,1
7.5,7.75,275.8,296.2,3,7
7.75,8,296.2,315.6,2,6
8,8.25,315.6,334.3,3,6
8.25,8.5,334.3,353.8,3,3
8.5,8.75,353.8,373.9,3,1
8.75,9,373.9,393.5,3,11
9,9.25,393.5,411.3,3,7
9.25,9.5,411.3,429.8,3,9
9.5,9.75,429.8,449.3,3,10
9.75,10,449.3,468.9,2,8
10,10.25,468.9,487.3,3,12
10.25,10.5,487.3,507,1,0
