lake,SampleID,TopDepth,BotDepth,Type,Material,Measurement,MeasurementError,Age,AgeError,CalibratedAge,CalAgeStD,CalAgeLCI,CalAgeUCI,LabID,Conf,Used
BB15,BB15_sh_128,31.75,32,C14,wood macrofossil,0.979513794,0.003593713,165,30,178,NA,5,281,CAMS-175825,32,Used
BB15,BB15_1A_97,60,60.25,C14,wood macrofossil,0.981713389,0.004063141,150,35,152,NA,8,278,CAMS-175826,,Used
BB15,BB15_1A_145,72,72.25,C14,wood macrofossil,0.878186486,0.003048901,1045,30,952,NA,926,1042,CAMS-175827,,Used
BB15,BB15_1A_222,91.25,91.5,C14,wood macrofossil,0.980862216,0.00350298,155,30,173,NA,7,278,CAMS-175828,,Used
BB15,BB15_sh_159,39.5,39.75,C14,bulk sediment,0.329856405,0.001244729,8910,35,10036,NA,9919,10176,CAMS-176589,,Unused
BB15,BB15_sh_1_2,0,0.5,Pb210,bulk sediment,2.975346908,0.196441012,NA,NA,-65,3.072051343,-71.02122063,-58.97877937,Flett-75911,,Used
BB15,BB15_sh_3_4,0.5,1,Pb210,bulk sediment,5.065085831,0.253671887,NA,NA,-62.35067366,3.183514565,-68.5903622,-56.11098511,Flett-75912,,Used
BB15,BB15_sh_5_6,1,1.5,Pb210,bulk sediment,3.686168464,0.190632091,NA,NA,-54.12204039,3.639733086,-61.25591724,-46.98816355,Flett-75913,,Used
BB15,BB15_sh_7_8,1.5,2,Pb210,bulk sediment,3.288729329,0.226680929,NA,NA,-48.4805791,4.058879985,-56.43598387,-40.52517433,Flett-75914,,Used
BB15,BB15_sh_9_10,2,2.5,Pb210,bulk sediment,2.119217955,0.144602867,NA,NA,-41.89873678,4.638949148,-50.99107711,-32.80639645,Flett-75915,,Used
BB15,BB15_sh_15_16,3.5,4,Pb210,bulk sediment,2.27464413,0.151109265,NA,NA,-26.93849585,6.598449265,-39.87145641,-14.00553529,Flett-75918,,Used
BB15,BB15_sh_17_18,4,4.5,Pb210,bulk sediment,1.496576364,0.180803472,NA,NA,-19.04721587,8.061079678,-34.84693204,-3.247499705,Flett-75919,,Used
BB15,BB15_sh_21_24,5,6,Pb210,bulk sediment,1.843609742,0.139732002,NA,NA,-11.86914195,9.536793738,-30.56125768,6.822973776,Flett-75921,,Used
BB15,BB15_sh_25_28,6,7,Pb210,bulk sediment,1.706942643,0.150947502,NA,NA,8.914777594,15.14853854,-20.77635795,38.60591314,Flett-75922,,Used
BB15,BB15_sh_29_32,7,8,Pb210,bulk sediment,1.362226012,0.163197609,NA,NA,58.2844174,48.17586274,-36.14027356,152.7091084,Flett-75923,,Unused
BB15,BB15_sh_33_36,8,9,Pb210,bulk sediment,1.204493881,0.121325703,NA,NA,NA,NA,NA,NA,Flett-75924,,Unused
BB15,BB15_sh_37_40,9,10,Pb210,bulk sediment,1.159636285,0.112558558,NA,NA,NA,NA,NA,NA,Flett-75925,,Unused
BB15,BB15_sh_57_60,14,15,Pb210,bulk sediment,1.507885505,0.123438267,NA,NA,NA,NA,NA,NA,Flett-75930,,Unused
BB15,BB15_sh_9_10,2,2.5,Ra226,bulk sediment,1.318670927,0.039799486,NA,NA,NA,NA,NA,NA,Flett-75915,,Unused
BB15,BB15_sh_37_40,9,10,Ra226,bulk sediment,1.112992065,0.037093795,NA,NA,NA,NA,NA,NA,Flett-75925,,Unused
DU15,DU15_sh_201,50,50.25,C14,wood macrofossil,0.09352542,0.000612537,19030,60,22916,,22768,23034,CAMS-175829,40,Used
DU15,DU15_1A_115,73.75,74,C14,wood macrofossil,0.08349303,0.000595602,19950,60,24006,,23882,24128.03,CAMS-175830,,Used
DU15,DU15_1A_246,106.5,106.75,C14,wood macrofossil,0.077069635,0.000600574,20590,70,24783,,24551,25031,CAMS-175831,,Used
DU15,DU15_1A_264,111,111.25,C14,wood macrofossil,0.078435869,0.000603711,20450,70,24546,,24396,24856,CAMS-175832,,Used
DU15,DU15_sh 124,55.75,56,C14,bulk sediment,0.280467737,0.001094499,10210,35,11786,,11922,12038,CAMS-176590,,Unused
DU15,DU15_sh_1_2,0,0.75,Pb210,bulk sediment,14.27977011,0.589920723,NA,NA,-65,0.947828465,-66.85774379,-63.14225621,Flett-75931,,Used
DU15,DU15_sh_5_6,1.25,1.75,Pb210,bulk sediment,11.88818216,0.402547319,NA,NA,-56.80103162,1.054138788,-58.86714364,-54.73491959,Flett-75933,,Used
DU15,DU15_sh_9_10,2.5,3.25,Pb210,bulk sediment,12.26927863,0.496100896,NA,NA,-48.16940713,1.241055273,-50.60187547,-45.7369388,Flett-75935,,Used
DU15,DU15_sh_11_12,3.25,3.75,Pb210,bulk sediment,10.87269874,0.419582513,NA,NA,-42.95080582,1.375932449,-45.64763342,-40.25397822,Flett-75936,,Used
DU15,DU15_sh_13_14,3.75,4.25,Pb210,bulk sediment,5.968670844,0.32801097,NA,NA,-37.76938807,1.543341551,-40.79433751,-34.74443863,Flett-75937,,Used
DU15,DU15_sh_15_16,4.25,4.75,Pb210,bulk sediment,4.833089534,0.298007802,NA,NA,-33.65739212,1.68814798,-36.96616216,-30.34862207,Flett-75938,,Used
DU15,DU15_sh_17_18,4.75,5.25,Pb210,bulk sediment,4.357496293,0.273390062,NA,NA,-30.07369672,1.829318232,-33.65916046,-26.48823299,Flett-75939,,Used
