depth,min,max,median,wmean
0,-71.1,-58.6,-64.6,-64.5
0.25,-67.9,-57.2,-62.7,-62.6
0.5,-66.5,-54.7,-60.9,-60.7
0.75,-62.6,-52.6,-57.8,-57.7
1,-61.2,-48.1,-54.8,-54.7
1.25,-57.4,-46.2,-51.9,-51.8
1.5,-55.9,-41.7,-49.1,-48.9
1.75,-52.5,-39.8,-46.2,-46.1
2,-51,-35.1,-43.6,-43.4
2.25,-48.9,-32.5,-40.7,-40.7
2.5,-48.1,-26.8,-38.4,-38
2.75,-45.2,-24.9,-35.5,-35.3
3,-43.8,-21.3,-32.9,-32.7
3.25,-39.9,-19.8,-30.2,-30
3.5,-37.9,-17.1,-27.3,-27.3
3.75,-34.5,-15.2,-24.7,-24.6
4,-32.8,-11.1,-22,-22
4.25,-30.3,-8.7,-19.7,-19.6
4.5,-29,-4.2,-17.4,-17.1
4.75,-26.4,-2.1,-15.1,-14.8
5,-25.1,1.4,-12.9,-12.5
5.25,-23.3,4,-10.5,-10.1
5.5,-22.1,8.5,-8.4,-7.8
5.75,-20,10.7,-5.8,-5.3
6,-18.8,14.9,-3.5,-2.9
6.25,-17.2,17.5,-1.5,-0.8
6.5,-16.1,21.6,0.5,1.3
6.75,-14.2,23.9,2.7,3.4
7,-13.1,27.5,4.7,5.5
7.25,-11.3,30.1,6.9,7.7
7.5,-10.1,33.6,8.9,9.8
7.75,-8.3,36.2,11,11.9
8,-7.3,39.6,13,14
8.25,-5.4,42.3,15.2,16.2
8.5,-4.2,46,17.4,18.4
8.75,-2.5,48.4,19.4,20.5
9,-1.2,51.7,21.4,22.6
9.25,0.6,54,23.7,24.8
9.5,1.8,56.8,25.9,26.9
9.75,3.6,59.4,28.1,29
10,4.7,61.8,30.1,31
10.25,6.5,64.1,32,33.1
10.5,7.9,67,34.1,35.2
10.75,9.8,69.2,36.3,37.3
11,11.1,71.8,38.3,39.4
11.25,13.2,73.9,40.5,41.6
11.5,14.9,76.6,42.6,43.7
11.75,16.7,78.8,44.8,45.9
12,18,82.1,46.9,48.1
12.25,19.8,84.4,49,50.2
12.5,21.2,87.2,51.2,52.4
12.75,22.9,89.7,53.3,54.5
13,24.5,92.5,55.5,56.7
13.25,26.4,94.9,57.7,58.9
13.5,27.9,97.7,60,61.1
13.75,29.7,100,62.1,63.2
14,31,102.3,64.2,65.2
14.25,32.9,104.4,66.3,67.3
14.5,34.2,107.5,68.1,69.3
14.75,36.2,109.5,70.3,71.4
15,37.9,112.6,72.3,73.6
15.25,40,114.8,74.5,75.7
15.5,41.7,117.4,76.8,77.8
15.75,43.9,119.7,79,80
16,45.4,122.2,81.2,82.2
16.25,47.5,124.6,83.3,84.4
16.5,48.9,127.5,85.4,86.6
16.75,50.8,129.5,87.7,88.7
17,52.4,131.8,89.9,90.9
17.25,54.3,134.2,92.2,93
17.5,55.8,137,94.3,95.2
17.75,57.8,139.7,96.4,97.4
18,59.5,142.5,98.6,99.5
18.25,61.6,144.6,100.8,101.7
18.5,63.4,146.9,102.9,103.8
18.75,65.4,149.4,105,106
19,67,152.1,107,108.2
19.25,69.1,154.2,109.4,110.3
19.5,70.4,156.5,111.5,112.4
19.75,72.1,158.4,113.8,114.6
20,73.7,161,116.1,116.7
20.25,76,163,118.2,118.8
20.5,78.1,165.3,120.3,121
20.75,80.1,167.7,122.4,123.2
21,81.9,170.7,124.7,125.4
21.25,83.6,172.5,126.9,127.5
21.5,85.1,174.8,129.2,129.7
21.75,87,176.7,131.4,131.9
22,88.6,179.1,133.5,134.1
22.25,90.7,180.9,135.9,136.3
22.5,92.7,183.3,138.1,138.4
22.75,94.6,185.8,140.4,140.7
23,96.4,188.2,142.4,142.8
23.25,98.3,190.3,144.7,145
23.5,100.1,192.7,146.8,147.2
23.75,102.2,194.7,149.2,149.4
24,103.6,197.2,151.6,151.5
24.25,105.9,198.8,153.9,153.7
24.5,108,201.3,156.2,155.9
24.75,110.3,203.2,158.5,158.1
25,112,205.6,160.6,160.2
25.25,114.1,207.3,162.8,162.4
25.5,115.9,209.8,164.9,164.5
25.75,118,211.5,167.2,166.7
26,119.8,214.1,169.5,168.8
26.25,122.1,216.3,171.7,170.9
26.5,124.2,219.3,173.8,173.1
26.75,126.2,221.4,176,175.3
27,127.7,224,178.5,177.5
27.25,129.9,226,180.9,179.6
27.5,131.5,228.5,183.1,181.8
27.75,133.7,230.5,185.2,183.9
28,135.5,232.5,187.5,186
28.25,137.5,234.6,189.6,188.1
28.5,139.2,236.9,191.8,190.2
28.75,141.5,238.8,194,192.3
29,143.2,241,196,194.5
29.25,145.5,242.9,198.3,196.6
29.5,147.3,245,200.4,198.7
29.75,149.5,247,202.7,200.8
30,151.4,248.8,205,202.9
30.25,153.6,250.7,207.3,205
30.5,155.3,253.2,209.5,207.1
30.75,157.7,254.9,211.5,209.2
31,159.3,256.8,213.5,211.3
31.25,161.7,258.7,215.8,213.4
31.5,163.3,260.6,217.9,215.5
31.75,166,262.3,220.1,217.7
32,169,264,222,220
32.25,171,266,225,222
32.5,173,267,228,224
32.75,174,267,229,225
32.9999,175,268,230,226
33,179,270,236,230
33.25,179,270,236,230
33.5,180,271,237,231
33.75,180,271,237,231
34,179,272,237,231
34.25,179,272,237,231
34.5,179,272,238,231
34.75,179,272,238,232
35,179,272,238,232
35.25,179,273,238,232
35.5,179,273,238,232
35.75,180,273,238,232
36,180,273,238,232
36.25,180,273,238,232
36.5,180,273,239,232
36.75,180,273,239,233
37,180,273,239,233
37.25,180,274,239,233
37.5,181,274,239,233
37.75,181,274,239,233
38,181,274,239,233
38.25,181,274,239,233
38.5,181,274,240,233
38.75,181,274,240,234
39,181,274,240,234
39.25,181,275,240,234
39.5,182,275,240,234
39.75,182,275,240,234
40,182,275,240,234
40.25,182,275,240,234
40.5,182,275,241,234
40.75,182,275,241,235
41,182,275,241,235
41.25,182,276,241,235
41.5,183,276,241,235
41.75,183,276,241,235
42,183,276,241,235
42.25,183,276,242,235
42.5,183,276,242,236
42.75,183,276,242,236
43,183,276,242,236
43.25,184,277,242,236
43.5,184,277,242,236
43.75,184,277,242,236
44,184,277,243,236
44.25,184,277,243,236
44.5,184,277,243,237
44.75,184,277,243,237
45,184,278,243,237
45.25,184,278,243,237
45.5,185,278,243,237
45.75,185,278,243,237
46,185,278,243,237
46.25,185,278,244,237
46.5,185,278,244,238
46.75,185,278,244,238
47,186,278,244,238
47.25,186,278,244,238
47.5,186,279,244,238
47.75,186,279,244,238
48,186,279,245,238
48.25,186,279,245,238
48.5,186,279,245,239
48.75,186,279,245,239
49,186,279,245,239
49.25,187,279,245,239
49.5,187,280,245,239
49.75,187,280,245,239
50,187,280,246,239
50.25,187,280,246,239
50.5,187,280,246,240
50.75,187,280,246,240
51,188,280,246,240
51.25,188,280,246,240
51.5,188,281,246,240
51.75,188,281,246,240
52,188,281,247,240
52.25,188,281,247,240
52.5,188,281,247,241
52.75,188,281,247,241
53,188,281,247,241
53.25,189,281,247,241
53.5,189,282,247,241
53.75,189,282,247,241
54,189,282,248,241
54.25,189,282,248,241
54.5,189,282,248,242
54.75,189,282,248,242
55,189,282,248,242
55.25,190,282,248,242
55.5,190,283,248,242
55.75,190,283,248,242
56,190,283,249,242
56.25,190,283,249,242
56.5,190,283,249,243
56.75,190,283,249,243
57,190,283,249,243
57.25,191,283,249,243
57.5,191,283,249,243
57.75,191,283,250,243
58,191,284,250,243
58.25,191,284,250,243
58.5,191,284,250,244
58.75,191,284,250,244
59,191,284,250,244
59.25,191,284,250,244
59.5,192,284,250,244
59.75,192,285,250,244
60,192,285,251,244
60.25,192,285,251,244
60.5,192,285,251,245
60.75,192,285,251,245
61,192,285,251,245
61.25,192,285,251,245
61.5,192,286,251,245
61.75,193,286,252,245
62,193,286,252,245
62.25,193,286,252,245
62.5,193,286,252,246
62.75,193,286,252,246
63,193,286,252,246
63.25,193,286,252,246
63.5,193,286,252,246
63.75,193,287,253,246
64,194,287,253,246
64.25,194,287,253,246
64.5,194,287,253,247
64.75,194,287,253,247
65,194,287,253,247
65.25,194,287,253,247
65.5,194,288,253,247
65.75,194,288,254,247
66,195,288,254,247
66.25,195,288,254,247
66.5,195,288,254,248
66.75,195,288,254,248
67,195,288,254,248
67.25,195,288,254,248
67.5,195,289,254,248
67.75,195,289,255,248
68,196,289,255,248
68.25,196,289,255,248
68.5,196,289,255,249
68.75,196,289,255,249
69,196,289,255,249
69.25,196,289,255,249
69.5,196,289,255,249
69.75,196,290,256,249
70,197,290,256,249
70.25,197,290,256,249
70.5,197,290,256,250
70.75,197,290,256,250
71,197,290,256,250
71.25,197,291,256,250
71.5,197,290,256,250
71.75,197,291,256,250
72,197,291,257,250
72.25,198,291,257,250
72.5,198,291,257,251
72.75,198,291,257,251
73,198,291,257,251
73.25,198,292,257,251
73.5,198,292,257,251
73.75,198,292,258,251
74,198,292,258,251
74.25,198,292,258,251
74.5,199,292,258,252
74.75,199,292,258,252
75,199,292,258,252
75.25,199,292,258,252
75.5,199,293,259,252
75.75,199,293,259,252
76,199,293,259,252
76.25,200,293,259,252
76.5,200,293,259,253
76.75,200,293,259,253
77,200,293,259,253
77.25,200,293,259,253
77.5,200,293,259,253
77.75,200,294,260,253
78,200,294,260,253
78.25,201,294,260,253
78.5,201,294,260,254
78.75,201,294,260,254
79,201,294,260,254
79.25,201,294,260,254
79.5,201,295,261,254
79.75,201,295,261,254
80,201,295,261,254
80.25,202,295,261,254
80.5,202,295,261,255
80.75,202,295,261,255
81,202,295,261,255
81.25,202,295,262,255
81.5,202,295,262,255
81.75,202,296,262,255
82,202,296,262,255
82.25,203,296,262,255
82.5,203,296,262,256
82.75,203,296,262,256
83,203,296,262,256
83.25,203,296,262,256
83.5,203,297,263,256
83.75,203,297,263,256
84,204,297,263,256
84.25,204,297,263,256
84.5,204,297,263,257
84.75,204,297,263,257
85,204,297,263,257
85.25,204,297,264,257
85.5,204,297,264,257
85.75,204,298,264,257
86,204,298,264,257
86.25,205,298,264,257
86.5,205,298,264,258
86.75,205,298,264,258
87,205,298,264,258
87.25,205,298,265,258
87.5,205,299,265,258
87.75,205,299,265,258
88,205,299,265,258
88.25,206,299,265,258
88.5,206,299,265,259
88.75,206,299,265,259
89,206,299,266,259
89.25,206,299,266,259
89.5,206,300,266,259
89.75,206,300,266,259
90,206,300,266,259
90.25,207,300,266,260
90.5,207,300,266,260
90.75,207,300,266,260
91,207,300,267,260
91.25,207,301,267,260
91.5,207,301,267,260
91.75,207,301,267,260
92,207,301,267,260
