depth,min,max,median,wmean
0,-67.5,-62.2,-64.9,-64.8
0.25,-65.5,-61.1,-63.3,-63.3
0.5,-64.2,-59.4,-61.8,-61.8
0.75,-63.2,-57.3,-60.2,-60.2
1,-62.6,-54.9,-58.7,-58.7
1.25,-59.7,-54,-56.9,-56.9
1.5,-58,-52.4,-55.1,-55.1
1.75,-57.2,-49.7,-53.2,-53.2
2,-56.8,-46.5,-51.4,-51.4
2.25,-53.6,-46.1,-49.9,-49.8
2.5,-51,-45.4,-48.3,-48.3
2.75,-49.5,-43.8,-46.7,-46.7
3,-48.7,-40.7,-45.2,-45.1
3.25,-45.3,-39.6,-42.8,-42.7
3.5,-42.6,-38.1,-40.4,-40.3
3.75,-40.8,-35.4,-38,-38
4,-39.6,-32,-35.6,-35.6
4.25,-36.5,-30.9,-33.7,-33.7
4.5,-34.2,-29.3,-31.7,-31.7
4.75,-33,-26.7,-29.8,-29.8
5,-32.3,-23.7,-27.9,-27.9
5.25,-29.2,-22.7,-26,-25.9
5.5,-27.4,-20.8,-24,-24
5.75,-26.4,-17.5,-22.2,-22.1
6,-25.8,-13.7,-20.4,-20.2
6.25,-24,-12.1,-18.3,-18.2
6.5,-23.1,-9.6,-16.1,-16.1
6.75,-22.5,-6.1,-14,-14.1
7,-22.1,-2,-12.1,-12.2
7.25,-17.8,-1.3,-10.1,-10
7.5,-14.5,-0.1,-8,-7.8
7.75,-12.5,2,-5.7,-5.5
8,-11.4,5.6,-3.6,-3.3
8.25,-8.5,7.9,-0.6,-0.4
8.5,-7,11.5,2.5,2.5
8.75,-6.1,16.4,5.3,5.3
9,-5.4,22.1,7.9,8.2
9.25,0.1,23,10.7,11
9.5,3.6,24.6,13.7,13.9
9.75,5.4,26.9,16.8,16.8
10,6.8,31.3,19.6,19.7
10.25,8.6,35.8,22.2,22.3
10.5,9.3,42.7,24,24.7
10.75,9.7,51.3,25.6,27.1
11,10.1,60,27,29.5
11.25,11.9,63.3,29.7,32.1
11.5,13.3,67.5,32.2,34.8
11.75,14.4,72.6,34.6,37.4
12,15.3,79.1,36.8,40.1
12.25,17.3,82.8,39.4,42.6
12.5,18.6,86,42.1,45.2
12.75,19.6,90.8,44.5,47.7
13,20.2,96.1,46.7,50.2
13.25,22.3,98.3,49.2,52.7
13.5,23.9,102,51.8,55.2
13.75,24.8,106.7,54.1,57.7
14,25.6,111.2,56.5,60.1
14.25,28,114.4,59,62.7
14.5,29.4,118.4,61.6,65.2
14.75,30.8,122.5,64.3,67.9
15,31.6,127.1,66.7,70.3
15.25,33.9,130.1,69.3,72.9
15.5,35.4,133.6,71.9,75.5
15.75,36.8,137.3,74.5,78.1
16,37.9,141.3,76.8,80.6
16.25,40.2,143.7,79.3,83.2
16.5,41.7,147.2,81.9,85.8
16.75,42.9,152,84.4,88.3
17,43.9,156.5,87,90.9
17.25,46.1,159.4,89.4,93.4
17.5,48,162.3,91.9,96
17.75,49.9,166.3,94.4,98.5
18,51.3,170.2,97,101.1
18.25,53.3,173,99.5,103.6
18.5,54.8,175.9,102.3,106.2
18.75,56.4,178.9,105,108.8
19,57.8,182.9,107.6,111.4
19.25,60.3,186.3,110,113.9
19.5,62.2,189.4,112.5,116.5
19.75,63.8,193.7,114.9,119
20,65.1,199.3,117.2,121.6
20.25,67.3,201.6,119.8,124.2
20.5,69.3,204.6,122.4,126.8
20.75,70.7,207.5,125,129.3
21,71.9,210.4,127.8,131.9
21.25,74.3,213.6,130.3,134.4
21.5,76.4,216.8,132.6,136.9
21.75,77.6,220.4,134.9,139.3
22,79.1,224.5,137.3,141.7
22.25,81.7,226.7,139.8,144.3
22.5,83.9,229.5,142.3,146.8
22.75,85.7,232.6,144.8,149.3
23,87,236.7,147.2,151.7
23.25,89.5,239,149.7,154.3
23.5,91.6,241.4,152.3,156.8
23.75,93.8,245.1,154.7,159.3
24,95.3,248.9,157.1,161.8
24.25,98,251.5,159.7,164.4
24.5,100.4,255.8,162.3,167
24.75,102.2,258.7,164.9,169.6
25,103.7,263,167.4,172.1
25.25,106,266.1,170,174.7
25.5,107.4,268.9,172.5,177.2
25.75,109.1,272.8,174.9,179.8
26,110.5,276.3,177.6,182.3
26.25,112.6,278.6,180.3,184.8
26.5,114.4,281.1,182.8,187.3
26.75,116.6,284,185,189.9
27,118.1,287.4,187.4,192.3
27.25,120.6,290.1,189.9,194.9
27.5,122.5,292.5,192.5,197.3
27.75,124.4,294.8,194.9,199.8
28,125.7,297.4,197.2,202.1
28.25,127.8,300.1,200,204.7
28.5,129.5,303.7,202.6,207.3
28.75,131.8,306.9,205.1,210
29,133.1,311,207.8,212.5
29.25,135.6,312.9,210.3,215
29.5,137.3,315.3,212.6,217.5
29.75,139.3,319.1,215.1,220.1
30,140.6,322.9,217.6,222.5
30.25,143.4,326,220.2,225
30.5,145.5,329,222.7,227.5
30.75,147.6,333,225.2,230.1
31,149,337,228,232.6
31.25,151.3,339.6,230.3,235.1
31.5,153,342.4,232.7,237.7
31.75,154.9,345.3,235,240.2
32,156.7,349,237.3,242.7
32.25,158.6,351.7,240.1,245.3
32.5,160.6,355.2,242.7,247.8
32.75,162.1,358.1,245.3,250.3
33,163.5,361.9,247.8,252.8
33.25,166.2,364.6,250.4,255.3
33.5,168.1,368.1,253.1,258
33.75,169.9,370.9,255.9,260.6
34,171.4,374.4,258.1,263.1
34.25,173.8,377.9,260.8,265.6
34.5,175.7,380,263.4,268
34.75,178.1,384.8,266,270.6
35,180.1,388,268.5,273.1
35.25,182.5,390.2,271,275.7
35.5,184.2,393.5,273.5,278.1
35.75,185.5,396.3,276.3,280.6
36,187.4,398.9,278.7,283.1
36.25,189.7,402.2,281.2,285.7
36.5,192.2,404.7,283.8,288.3
36.75,194.5,407.1,286,290.9
37,196,409.5,288.5,293.5
37.25,198.6,411.9,291.1,296.1
37.5,201.1,415.9,293.5,298.6
37.75,203.1,419,296,301.1
38,204.9,422.1,298.6,303.7
38.25,208.1,425.3,302.4,307.2
38.5,211,430,306,310.8
38.75,214.3,434.1,309.5,314.3
39,216.6,439.8,313,317.9
39.25,221.5,442.8,317.2,322.1
39.5,223.8,447.2,320.3,325.5
39.75,226.6,453.2,324.2,329.2
39.9999,228.5,457.6,327.3,332.7
40,23668.8,24178.6,23966.2,23956.1
40.25,23671.3,24179.6,23968.3,23958.4
40.5,23673.6,24180.7,23971,23960.9
40.75,23677,24182.1,23973.3,23963.4
41,23679.9,24184.7,23975.8,23965.9
41.25,23683.5,24187.1,23978.4,23968.4
41.5,23686.9,24188.9,23981,23971.1
41.75,23688.8,24190.1,23983.7,23973.5
42,23686.1,24196.9,23987.4,23976.3
42.25,23688.9,24198.8,23989.7,23978.9
42.5,23692,24200.8,23992.3,23981.5
42.75,23694,24203.1,23995,23984
43,23697.8,24205.3,23997.6,23986.5
43.25,23700.9,24207.1,24000,23988.9
43.5,23702.9,24209.3,24002.3,23991.3
43.75,23707.9,24212.4,24004.2,23993.8
44,23711.1,24213.7,24006.9,23996.4
44.25,23713.7,24216,24009.3,23998.9
44.5,23715.8,24218.7,24011.9,24001.6
44.75,23717.9,24222,24014.7,24004.3
45,23719.7,24223.9,24017.4,24007
45.25,23722.2,24225.9,24019.7,24009.4
45.5,23724.9,24227,24022.4,24012
45.75,23728.5,24229.8,24025.1,24014.6
46,23730.8,24232.7,24027.6,24017.1
46.25,23733.6,24235.1,24030,24019.6
46.5,23735.6,24237.5,24032.3,24022.1
46.75,23737.8,24240.9,24034.9,24024.7
47,23739.4,24243,24037.5,24027.1
47.25,23742,24245.6,24039.8,24029.6
47.5,23744.2,24247.2,24042.3,24032.2
47.75,23747.1,24250,24044.7,24034.7
48,23749.1,24252.6,24046.9,24037.2
48.25,23752.6,24255.4,24049.3,24039.7
48.5,23755.9,24258.4,24052.1,24042.3
48.75,23758.6,24260.7,24054.6,24044.9
49,23761.9,24264.3,24057.3,24047.4
49.25,23764.2,24267.1,24059.8,24050
49.5,23767.9,24269.4,24062.1,24052.6
49.75,23769,24271.4,24064.6,24055.2
50,23771.4,24274.1,24067,24057.6
50.25,23774.2,24277.2,24069.7,24060.4
50.5,23777.8,24278,24072.3,24062.8
50.75,23780.3,24280.3,24074.6,24065.3
51,23783.1,24281.9,24077.3,24067.9
51.25,23785.6,24284.4,24079.9,24070.6
51.5,23789.3,24286.7,24082.8,24073.3
51.75,23791.7,24289.8,24085.4,24075.8
52,23793.5,24292.8,24088,24078.4
52.25,23796.7,24294.8,24090.3,24081
52.5,23799.9,24296,24092.6,24083.6
52.75,23803.7,24298.8,24095.4,24086.1
53,23806.6,24301.8,24097.7,24088.7
53.25,23810.8,24304.6,24100.3,24091.5
53.5,23814.2,24307.6,24102.7,24094.2
53.75,23816.8,24309,24105.4,24096.9
54,23819.9,24312.5,24107.8,24099.5
54.25,23824.3,24314.2,24110.5,24102.2
54.5,23826.3,24315.9,24113.1,24104.8
54.75,23829.3,24318.5,24115.8,24107.5
55,23832.5,24321.4,24118.3,24110.1
55.25,23835.6,24323.6,24121,24112.9
55.5,23839.9,24326.2,24123.7,24115.5
55.75,23844.3,24328,24126.2,24118.2
56,23847.9,24330.5,24128.6,24120.8
56.25,23851.5,24332.9,24130.9,24123.3
56.5,23855.5,24335.1,24133.4,24125.8
56.75,23859,24337,24136.2,24128.6
57,23862,24339.2,24138.3,24131
57.25,23864.4,24341.4,24141.1,24133.9
57.5,23869.3,24343.9,24143.6,24136.6
57.75,23872.1,24345.9,24145.9,24139.2
58,23874.9,24349.4,24148,24141.8
58.25,23877.7,24351.1,24150.6,24144.4
58.5,23879.8,24354.1,24153,24147.1
58.75,23880.9,24356.8,24155.6,24149.8
59,23883.4,24359.5,24158.5,24152.5
59.25,23886.3,24361.7,24161,24155.2
59.5,23890.6,24363.7,24163.4,24158
59.75,23893.8,24366.9,24166.1,24160.8
60,23897.5,24369.3,24168.9,24163.5
60.25,23900.6,24371.9,24171.3,24166.1
60.5,23905.1,24374.2,24173.4,24168.6
60.75,23909.1,24375.9,24176.2,24171.4
61,23912.8,24378.4,24178.9,24173.9
61.25,23915.8,24381.2,24181.4,24176.5
61.5,23920,24384.2,24184.2,24179.1
61.75,23921.4,24386.3,24186.5,24181.7
62,23923.9,24389.2,24189.2,24184.3
62.25,23928.8,24390.4,24191.5,24186.8
62.5,23933.2,24392.7,24194.2,24189.6
62.75,23936.3,24395.8,24196.9,24192.5
