depth,min,max,median,wmean
0,-67.8,-61.7,-64.9,-64.8
0.25,-62.5,-57.7,-60.1,-60
0.5,-59,-51.8,-55.3,-55.3
0.75,-51.4,-45.6,-48.4,-48.4
1,-46.1,-37.1,-41.6,-41.5
1.25,-37.2,-30,-33.5,-33.5
1.5,-31.6,-19.7,-25.6,-25.6
1.75,-22.2,-12.5,-17.4,-17.4
2,-17.1,-1.3,-9.3,-9.2
2.25,-7.5,5.6,-0.8,-0.8
2.5,-3.4,17.8,7.5,7.6
2.75,7.6,24.4,16.2,16.2
3,11.4,37.5,24.8,24.8
3.25,20,41.3,30.8,30.9
3.5,23.7,51,36.9,37.1
3.75,30,55.9,42.6,42.8
4,32.4,66.7,47.8,48.4
4.25,36,77,53.6,54.6
4.5,37.4,95.4,58.2,60.7
4.75,41.6,103.7,64.4,66.8
5,43.9,118,70,73
5.25,48,125,76.3,79.3
5.5,49.8,135.6,81.9,85.4
5.75,54.9,142,88.5,91.5
6,57.2,151.6,94.3,97.5
6.25,62.3,158.4,100.7,103.6
6.5,64.8,166.8,106.3,109.5
6.75,69.1,173.7,112.8,115.6
7,71.6,184.1,119,121.9
7.25,77.2,189.6,125.2,128.1
7.5,80.9,198.8,131.2,134.3
7.75,86.8,204.9,137.7,140.5
8,90.4,214,143.9,146.7
8.25,95.3,220.7,149.9,152.8
8.5,99.5,230.2,156,159
8.75,105.8,235.8,162,165.2
9,109.8,244,168.6,171.5
9.25,115.7,249.6,174.7,177.4
9.5,120.3,259,180.8,183.5
9.75,126.7,264.3,187.4,189.7
10,130.6,270.5,193.6,196
10.25,137.5,276.6,199.8,202.1
10.5,140.8,283.9,205.7,208.1
10.75,147.9,290.3,212.5,214.3
11,152.2,297.8,218.5,220.4
11.25,158.9,303.3,224.6,226.7
11.5,164,310.5,231,233
11.75,170.7,316.2,236.9,239.2
12,174.9,322.4,242.8,245.3
12.25,181.5,326.6,248.9,251.5
12.5,187,332.9,254.9,257.5
12.75,193.5,338.4,261.1,263.7
13,198.7,345.3,267.2,269.8
13.25,206,350.6,272.8,275.8
