depth,min,max,median,wmean
0,-70,-63,-66,-66
0.5,-67,-61,-64,-64
1,-65,-59,-62,-62
1.5,-63,-57,-60,-60
2,-61,-55,-58,-58
2.5,-60,-52,-56,-56
3,-58,-50,-54,-54
3.5,-56,-49,-52,-52
4,-54,-45,-50,-50
4.5,-53,-43,-48,-48
5,-51,-41,-46,-46
5.5,-49,-39,-44,-44
6,-46,-37,-42,-42
6.5,-44,-32,-39,-39
7,-43,-28,-37,-36
7.5,-41,-24,-34,-33
8,-39,-21,-31,-31
8.5,-36,-19,-28,-28
9,-34,-16,-25,-25
9.5,-31,-14,-23,-22
10,-26,-11,-20,-20
10.5,-23,-1,-15,-14
11,-21,10,-10,-8
11.5,-17,18,-4,-2
12,-14,26,3,4
12.5,-10,34,8,10
13,-4,41,14,16
13.5,2,49,20,22
14,9,57,26,28
14.5,17,86,39,42
15,24,133,58,63
15.5,32,166,77,84
16,42,197,98,104
16.5,53,225,119,125
17,67,255,140,147
17.5,82,280,162,168
18,95,309,183,189
18.5,110,335,205,210
19,126,361,225,231
19.5,141,386,248,252
20,158,412,269,273
20.5,175,433,290,294
21,192,456,311,315
21.5,207,482,332,336
22,224,506,353,357
22.5,240,529,373,377
23,258,550,395,399
23.5,275,576,416,419
24,293,599,437,441
24.5,310,619,458,461
25.5,349,664,501,503
26.5,387,706,543,545
27.5,422,748,584,586
28.5,464,790,627,629
29.5,502,832,670,671
30,521,852,692,692
30.25,531,860,701,702
30.5,540,872,711,712
30.75,551,883,722,723
31,560,896,733,734
31.25,572,905,744,744
31.5,582,917,755,755
31.75,596,927,765,766
32,604,937,775,776
32.25,617,945,787,787
32.5,627,955,798,798
32.75,639,964,808,809
33,649,975,819,819
33.25,661,983,830,830
33.5,672,995,841,841
33.75,684,1003,851,851
34,693,1014,861,862
34.25,707,1024,872,872
34.5,718,1036,883,883
34.75,731,1043,893,893
35,740,1053,904,903
35.25,753,1063,915,914
35.5,764,1074,926,925
35.75,777,1083,937,936
36,783,1094,948,946
36.25,798,1103,958,957
36.5,807,1114,969,967
36.75,821,1122,979,978
37,832,1132,991,988
37.25,848,1141,1002,999
37.5,857,1153,1013,1009
37.75,873,1163,1024,1020
38,883,1173,1036,1030
38.25,898,1182,1046,1041
38.5,909,1192,1056,1051
38.75,917,1192,1060,1055
39,938,1205,1075,1071
39.25,938,1205,1075,1071
39.5,939,1206,1076,1072
39.75,939,1206,1076,1072
40,939,1211,1078,1074
40.25,939,1211,1078,1074
40.5,939,1211,1078,1074
40.75,939,1211,1078,1074
41,939,1211,1078,1074
41.25,939,1211,1078,1075
41.5,939,1211,1079,1075
41.75,939,1211,1079,1075
42,939,1212,1079,1075
42.25,939,1212,1079,1075
42.5,939,1212,1079,1075
42.75,939,1212,1079,1075
43,940,1212,1079,1075
43.25,940,1212,1079,1075
43.5,940,1212,1080,1076
43.75,940,1213,1080,1076
44,940,1213,1080,1076
44.25,940,1213,1080,1076
44.5,940,1213,1080,1076
44.75,941,1213,1080,1076
45,941,1213,1080,1076
45.25,941,1213,1080,1077
45.5,941,1213,1081,1077
45.75,941,1214,1081,1077
46,941,1214,1081,1077
46.25,941,1214,1081,1077
46.5,941,1214,1081,1077
46.75,942,1214,1081,1077
47,942,1214,1081,1077
47.25,942,1215,1081,1078
47.5,942,1215,1082,1078
47.75,942,1215,1082,1078
48,942,1215,1082,1078
48.25,942,1215,1082,1078
48.5,942,1215,1082,1078
48.75,942,1215,1082,1078
49,942,1215,1082,1078
49.25,942,1215,1082,1079
49.5,943,1216,1083,1079
49.75,943,1216,1083,1079
50,943,1216,1083,1079
50.25,943,1216,1083,1079
50.5,943,1216,1083,1079
50.75,943,1216,1083,1079
51,943,1216,1083,1079
51.25,943,1216,1084,1080
51.5,944,1217,1084,1080
51.75,944,1217,1084,1080
52,944,1217,1084,1080
52.25,944,1217,1084,1080
52.5,944,1217,1084,1080
52.75,944,1217,1084,1080
53,944,1217,1084,1080
53.25,944,1217,1084,1081
53.5,944,1218,1085,1081
53.75,945,1218,1085,1081
54,945,1218,1085,1081
54.25,945,1218,1085,1081
54.5,946,1218,1085,1081
54.75,946,1218,1085,1081
55,946,1218,1085,1081
55.25,946,1218,1086,1082
55.5,946,1219,1086,1082
55.75,946,1219,1086,1082
56,946,1219,1086,1082
56.25,946,1219,1086,1082
56.5,946,1219,1086,1082
56.75,946,1219,1086,1082
57,946,1220,1086,1083
57.25,947,1220,1087,1083
57.5,947,1220,1087,1083
57.75,947,1220,1087,1083
58,947,1220,1087,1083
58.25,947,1220,1087,1083
58.5,947,1220,1087,1083
58.75,947,1220,1087,1083
59,947,1221,1087,1084
59.25,947,1220,1088,1084
59.5,948,1221,1088,1084
59.75,948,1221,1088,1084
60,948,1221,1088,1084
60.25,948,1221,1088,1084
60.5,948,1221,1088,1084
60.75,948,1222,1088,1084
61,948,1222,1088,1085
61.25,949,1222,1089,1085
61.5,949,1222,1089,1085
61.75,949,1222,1089,1085
62,949,1223,1089,1085
62.25,949,1223,1089,1085
62.5,949,1223,1089,1085
62.75,950,1223,1089,1085
63,950,1223,1089,1086
63.25,950,1223,1090,1086
63.5,950,1223,1090,1086
63.75,950,1223,1090,1086
64,950,1223,1090,1086
64.25,950,1223,1090,1086
64.5,950,1223,1090,1086
64.75,950,1224,1090,1086
65,951,1224,1091,1087
65.25,951,1224,1091,1087
65.5,951,1224,1091,1087
65.75,951,1224,1091,1087
66,951,1224,1091,1087
66.25,951,1224,1091,1087
66.5,951,1225,1091,1087
66.75,951,1225,1091,1087
67,952,1225,1091,1088
67.25,952,1225,1092,1088
67.5,952,1225,1092,1088
67.75,952,1225,1092,1088
68,952,1225,1092,1088
68.25,952,1226,1092,1088
68.5,952,1226,1092,1088
68.75,952,1226,1092,1089
69,952,1226,1093,1089
69.25,952,1226,1093,1089
69.5,952,1226,1093,1089
69.75,952,1226,1093,1089
70,953,1227,1093,1089
70.25,953,1227,1093,1089
70.5,953,1227,1093,1089
70.75,953,1227,1094,1090
71,953,1227,1094,1090
71.25,954,1227,1094,1090
71.5,954,1227,1094,1090
71.75,954,1227,1094,1090
72,954,1228,1094,1090
72.25,954,1228,1094,1090
72.5,954,1228,1094,1090
72.75,954,1228,1094,1091
73,954,1228,1095,1091
73.25,955,1228,1095,1091
73.5,955,1228,1095,1091
73.75,955,1228,1095,1091
74,955,1228,1095,1091
74.25,955,1228,1095,1091
74.5,955,1229,1095,1091
74.75,955,1229,1096,1092
75,955,1229,1096,1092
