depth,min,max,median,wmean
0,-69.1,-60.7,-64.8,-64.8
0.25,-65.3,-58.9,-62.3,-62.2
0.5,-63.7,-55.2,-59.7,-59.6
0.75,-58.2,-50.8,-54.6,-54.5
1,-55.4,-43.3,-49.6,-49.5
1.25,-46,-35.9,-41,-41
1.5,-41.1,-24.1,-32.6,-32.5
1.75,-30.9,-16.5,-23.6,-23.6
2,-26.7,-3.4,-14.6,-14.6
2.25,-17.4,2.2,-7.3,-7.3
2.5,-14,13.9,-0.2,0
2.75,-6.4,18.9,6.2,6.3
3,-3.4,30,12.1,12.6
3.25,3.1,36.1,18.6,19.1
3.5,5.4,49.5,24.4,25.4
3.75,10.6,64.1,32.3,33.9
4,12.4,89.9,38.6,42.2
4.25,17.8,101.6,47.3,51
4.5,19.6,122,54.4,59.3
4.75,26,133.8,63.5,68
5,29.3,148.5,71.5,76.7
5.25,35,156,80.1,84.8
5.5,38.4,168.3,88.3,92.8
5.75,44.5,176.5,96.8,101.1
6,47.8,188.4,105.3,109.5
6.25,54,196.1,113.9,117.6
6.5,57.5,206.3,122.6,125.8
6.75,65.6,215,131,134.3
7,71.3,227.9,139.5,142.9
7.25,78.5,236,147.8,151.2
7.5,83.4,247.9,156.3,159.5
7.75,90.9,256,165.4,168.3
8,96.1,267.3,174.1,177
8.25,106.2,273.5,182.9,185.5
8.5,112.2,283.6,191.8,194.1
8.75,121.4,290.5,200.5,202.8
9,126.8,300.7,209.1,211.4
9.25,135.4,308.9,218.2,220.2
9.5,141.6,319.2,226.8,228.9
9.75,151.8,326.2,235.8,237.6
10,157.7,335.8,244.6,246.3
10.25,166.3,343.7,254.1,255.1
10.5,172.3,353,263.3,263.9
10.75,182.2,360.6,272.1,272.6
11,189.3,369.9,281,281.2
11.25,199.7,375.9,289.4,289.8
11.5,206.3,383.4,298.3,298.5
11.75,215.1,390.5,306.6,306.9
12,221,399.7,315.6,315.4
12.25,232.2,406.9,324.2,324.1
12.5,238.8,415.7,333,332.6
12.75,248.2,420.4,342,341.1
13,254,429.3,351,349.5
13.25,265.6,435.3,360,358.1
13.5,273.1,443.6,369.3,366.7
13.75,285.9,448.8,377.8,375.1
14,293.4,456.7,386.5,383.8
14.25,304.6,461.6,394.6,392.1
14.5,312.1,469.3,403.1,400.4
14.75,322.9,473.8,412,408.9
15,331.7,481.4,420.7,417.6
15.25,343.5,485.9,429.2,426.1
15.5,351.5,493.6,438.3,434.9
15.75,366.6,497.6,446.8,443.5
16,374.7,504.4,455.8,452.2
16.25,389.2,507.9,464.5,461
16.5,399.4,514.5,474.2,469.8
16.75,417.9,517.4,482.1,478.6
17,427.9,523.4,491.2,487.7
17.25,447,526,498.5,495.8
17.5,457.4,530.4,506.9,504
17.75,464.8,531.7,510.6,507.9
17.9999,504.3,535.8,520,520.2
18,505.8,536.5,521.2,521.4
18.25,506.4,536.3,521.2,521.4
18.5,507.7,537.1,522.2,522.3
18.75,508.1,537.9,522.8,523
19,507.3,537.8,522.5,522.6
19.25,507.5,538,522.6,522.7
19.5,507.8,538.1,522.7,522.9
19.75,507.9,538.3,522.8,523
20,508,538.3,523,523.1
20.25,508.2,538.4,523.1,523.2
20.5,508.4,538.5,523.2,523.4
20.75,508.5,538.7,523.3,523.5
21,508.6,538.8,523.5,523.6
21.25,508.7,538.9,523.6,523.7
21.5,508.8,539.1,523.7,523.9
21.75,509,539.2,523.8,524
22,509,539.3,524,524.1
22.25,509.2,539.4,524.1,524.3
22.5,509.4,539.6,524.2,524.4
22.75,509.5,539.6,524.4,524.5
23,509.6,539.8,524.5,524.7
23.25,509.8,540,524.6,524.8
23.5,510,540.1,524.8,524.9
23.75,510,540.2,524.9,525
24,510.2,540.4,525,525.2
24.25,510.3,540.4,525.1,525.3
24.5,510.4,540.5,525.2,525.4
24.75,510.6,540.7,525.4,525.5
25,510.8,540.8,525.5,525.7
25.25,510.9,540.9,525.6,525.8
25.5,511.1,541.1,525.7,526
25.75,511.1,541.2,525.9,526.1
26,511.2,541.3,526,526.2
26.25,511.5,541.4,526.1,526.3
26.5,511.6,541.5,526.3,526.4
26.75,511.7,541.7,526.4,526.6
27,511.9,541.8,526.5,526.7
27.25,511.9,541.9,526.6,526.8
27.5,512.1,541.9,526.7,526.9
27.75,512.3,542.1,526.9,527
28,512.4,542.3,527,527.2
28.25,512.5,542.4,527.1,527.3
28.5,512.6,542.4,527.2,527.4
28.75,512.7,542.6,527.3,527.5
29,512.9,542.7,527.5,527.7
29.25,513,542.8,527.6,527.8
29.5,513.1,542.9,527.7,527.9
29.75,513.2,543,527.9,528
30,513.4,543.3,528,528.2
30.25,513.4,543.4,528.1,528.3
