depth,min,max,median,wmean
0,-68.7,-61.3,-65,-64.9
0.5,-66,-53.2,-59.9,-59.8
1,-58.5,-50,-54.5,-54.4
1.5,-54.6,-20.1,-38.3,-38
1.75,-38.8,-18.4,-29.9,-29.5
2,-28.1,-13.6,-21.1,-21
2.25,-15,1.3,-6.6,-6.6
2.5,-8.4,21.8,7.7,7.6
2.75,2.8,30.1,17.3,17.3
3,6.6,47.5,26.6,26.9
3.25,11.6,53.7,32.8,32.9
3.5,14.1,66.7,38.1,38.9
3.75,17.8,71.6,42.4,43.3
4,19.5,79.5,46.4,47.5
4.25,22.9,84,50.2,51.3
4.5,24.8,90.3,53.5,54.9
4.75,27.8,94.4,57.4,58.6
5,29.8,100.5,61,62.3
5.25,32.8,104.4,64.7,66
5.5,35,110.3,68.4,69.8
5.75,38.2,114.2,72,73.5
6,40.4,121,75.4,77.2
6.25,43.7,124.9,79.4,81.1
6.5,46.5,130.3,83.1,84.8
6.75,49.7,134.7,86.9,88.5
7,52.2,139.4,90.5,92.2
7.25,55.6,143.9,94.1,95.9
7.5,57.8,150.2,97.7,99.6
7.75,61.4,153.9,101.4,103.2
8,63.6,158.5,104.8,106.7
8.25,67.1,162.4,108.5,110.4
8.5,69.5,167.4,112,114
8.75,72.6,171.4,115.6,117.7
9,75.1,176.1,119.3,121.5
9.25,78.5,179.9,123.1,125.2
9.5,81.1,184.7,126.9,129
9.75,84.3,189,130.8,132.9
10,86.8,193.7,134.7,136.7
10.25,90.5,197.3,138.7,140.5
10.5,93.6,201.7,142.6,144.3
10.75,96.8,205.4,146.3,148
11,99.6,210.6,150.2,151.9
11.25,103.1,214,153.9,155.6
11.5,105.9,219,157.8,159.5
11.75,108.9,222.8,161.2,163.1
12,111.2,227.3,165,166.8
12.25,115.7,231.3,168.8,170.7
12.5,118.2,236.4,172.8,174.7
12.75,122.3,240,176.2,178.3
13,125.3,244,179.9,181.9
13.25,129.5,247.7,183.6,185.7
13.5,133,251.4,187.4,189.5
13.75,137,255.4,191.2,193.2
14,139.8,259.8,194.9,196.9
14.25,142.9,263.1,198.7,200.6
14.5,145.1,267.6,202.6,204.3
14.75,149.5,271.3,206.4,208.1
15,153,275.9,209.8,211.8
15.25,156.3,279.2,214,215.7
15.5,159.1,282.9,218.1,219.4
15.75,162.9,286.2,221.6,223.2
16,166.4,290.2,225.5,227.1
16.25,170,294.5,229.5,230.9
16.5,173.3,299.7,233.2,234.7
16.75,177.3,303.4,236.9,238.3
17,180.1,307.3,240.8,242.1
17.25,184.2,310.6,244.5,245.9
17.5,187.1,314.7,248.2,249.8
17.75,191.2,318,251.9,253.4
18,194.7,321.4,255.5,257
18.25,198.6,324.8,259.4,260.8
18.5,201.4,328.6,263.3,264.5
18.75,205.5,332.5,267,268.3
19,208.8,336.4,270.9,272
19.25,212.5,339.4,274.6,275.6
19.5,215.6,343.5,278.2,279.2
19.75,220,347.2,281.9,282.9
20,223.2,351.8,285.6,286.6
20.25,227.5,355.4,289.3,290.4
20.5,230.5,359.4,292.7,294.2
20.75,234.1,362.6,296.6,297.8
21,236.7,366.6,300.6,301.5
21.25,240.9,369.7,304,305.2
21.5,244,372.8,307.7,308.9
21.75,248.7,376.5,311.5,312.7
22,251.9,380.8,315.1,316.5
22.25,256.6,383.9,319,320.2
22.5,260.3,387.2,322.7,323.9
22.75,264.2,390.7,326.3,327.6
23,267.7,394.3,329.9,331.2
23.25,271.7,397.8,333.5,334.8
23.5,275.4,402.4,337.3,338.5
23.75,279.3,405.7,340.8,342.1
24,282.5,409.7,344.6,345.8
24.25,287,412.7,348.3,349.6
24.5,290.3,416.2,352.1,353.3
24.75,294.5,419.4,355.9,357
25,297.9,422.7,359.8,360.7
25.25,302.8,426.4,363.7,364.7
25.5,306.2,431,367.8,368.6
25.75,310.8,433.5,371.4,372.4
26,314.3,436.8,375.2,376.2
26.25,319,439.2,378.7,379.7
26.5,322.1,442.7,382.1,383.3
26.75,326.8,445.4,385.9,387
27,330.4,449.2,389.6,390.7
27.25,334.8,452.6,393.3,394.5
27.5,338.1,455.9,397.3,398.4
27.75,343,458.6,400.7,402
28,346.3,462.6,404.5,405.6
28.25,350.8,465,408.1,409.2
28.5,354.7,468.1,411.9,413
28.75,359.8,471,415.6,416.8
29,363.9,474.9,419.4,420.4
29.25,368.4,477.4,423.3,424.2
29.5,371,479.7,427.1,427.9
29.75,375.9,482.3,431,431.7
30,379.6,485.9,434.8,435.4
30.25,384.5,488.8,438.2,439.1
30.5,388.2,492.3,442.1,442.8
30.75,392.6,496.2,445.7,446.3
31,396.6,500.9,449.5,450
31.25,401.5,503.8,453.4,453.7
31.5,405.4,507.1,457.3,457.4
31.75,410.2,509.6,460.7,460.8
31.9999,414.9,514.2,465.1,465.1
32,417.7,514.4,466.8,466.8
32.25,418.1,514.9,467.2,467.1
32.5,418.5,515.2,467.6,467.5
32.75,418.7,515.3,467.7,467.6
33,417.3,516.1,467.4,467.3
33.25,417.4,516.1,467.5,467.4
33.5,417.5,516.1,467.7,467.5
33.75,417.5,516.3,467.7,467.6
34,417.6,516.3,467.8,467.8
34.25,417.7,516.5,467.9,467.9
34.5,417.9,516.3,468.1,468
34.75,418.1,516.5,468.2,468.1
35,418.1,516.7,468.4,468.3
35.25,418.2,516.9,468.5,468.4
35.5,418.3,517,468.6,468.5
35.75,418.4,517.2,468.7,468.7
36,418.5,517.2,468.8,468.8
36.25,418.6,517.3,468.9,468.9
36.5,418.7,517.3,469.1,469
36.75,418.9,517.3,469.2,469.2
37,418.9,517.6,469.3,469.3
37.25,419,517.7,469.4,469.4
37.5,419.2,517.9,469.5,469.5
37.75,419.4,518,469.7,469.6
38,419.4,518,469.8,469.7
38.25,419.5,518.1,469.9,469.9
38.5,419.6,518.4,470,470
38.75,419.8,518.6,470.2,470.2
39,420.2,518.5,470.3,470.2
39.25,420.2,518.8,470.5,470.4
39.5,420.2,518.8,470.6,470.5
39.75,420.4,519,470.7,470.6
40,420.4,519,470.8,470.7
40.25,420.6,519.2,470.9,470.9
40.5,420.7,519.3,471.1,471
40.75,420.9,519.5,471.2,471.1
41,421,519.7,471.3,471.2
41.25,421.1,519.7,471.4,471.4
41.5,421.2,519.8,471.6,471.5
41.75,421.3,520,471.7,471.6
42,421.4,520,471.8,471.7
42.25,421.5,520.2,472,471.9
42.5,421.6,520.4,472.1,472
42.75,421.8,520.3,472.2,472.1
43,421.9,520.4,472.3,472.2
43.25,422,520.7,472.5,472.4
43.5,422.1,521,472.6,472.5
43.75,422.2,521,472.7,472.6
44,422.3,521.1,472.8,472.7
44.25,422.4,521.1,473,472.9
44.5,422.6,521.2,473.1,473
44.75,422.7,521.4,473.3,473.1
45,422.9,521.8,473.4,473.3
45.25,423,521.9,473.5,473.4
45.5,423,522,473.6,473.5
45.75,423.2,521.8,473.7,473.6
46,423.4,522,473.9,473.8
46.25,423.5,522.4,474,473.9
46.5,423.6,522.5,474.2,474
46.75,423.7,522.5,474.3,474.1
47,423.8,522.6,474.4,474.3
47.25,424,522.5,474.5,474.4
47.5,424.2,522.7,474.7,474.5
47.75,424.3,523,474.8,474.7
48,424.5,523.3,475,474.8
48.25,424.7,523.2,475.1,474.9
48.5,424.7,523.3,475.2,475
48.75,424.8,523.6,475.3,475.2
49,424.9,523.8,475.4,475.3
49.25,425.1,524,475.5,475.4
49.5,425.4,524,475.6,475.5
49.75,425.5,524.2,475.7,475.6
50,425.6,524,475.9,475.7
50.25,425.7,524.1,476,475.9
50.5,425.9,524.4,476.1,476
50.75,426,524.6,476.2,476.1
51,426.1,524.7,476.3,476.3
51.25,426.3,524.6,476.5,476.4
51.5,426.4,524.7,476.6,476.6
51.75,426.5,525,476.7,476.7
52,426.6,525.2,476.8,476.8
52.25,426.8,525.3,477,476.9
52.5,426.9,525.4,477.2,477
52.75,426.9,525.4,477.3,477.2
53,427,525.7,477.5,477.3
53.25,427.2,525.7,477.6,477.4
53.5,427.3,525.6,477.7,477.5
53.75,427.5,526,477.8,477.7
54,427.7,526.3,477.9,477.8
54.25,427.7,526.4,478.1,477.9
54.5,427.8,526.6,478.2,478
54.75,427.9,526.8,478.3,478.2
55,428,526.8,478.5,478.3
55.25,428.2,526.8,478.5,478.4
55.5,428.4,527,478.7,478.5
55.75,428.4,527.2,478.9,478.7
56,428.6,527.4,479,478.8
56.25,428.8,527.6,479.1,478.9
56.5,428.9,527.8,479.2,479.1
56.75,429.1,527.5,479.4,479.2
57,429.1,528,479.5,479.3
57.25,429.2,528.2,479.6,479.4
57.5,429.3,528.4,479.7,479.6
57.75,429.4,527.9,479.8,479.7
58,429.6,528.2,480,479.8
58.25,429.9,528.5,480.2,480
58.5,429.9,528.9,480.3,480.1
58.75,430,529.1,480.4,480.2
59,430.2,529.2,480.5,480.4
59.25,430.3,529,480.6,480.5
59.5,430.5,529.1,480.8,480.6
59.75,430.6,529.2,480.8,480.7
60,430.7,529.3,481,480.8
60.25,430.8,529,481.1,480.9
60.5,430.9,529.2,481.2,481.1
60.75,431.1,529.6,481.3,481.2
61,431.2,530,481.5,481.3
61.25,431.4,529.7,481.6,481.4
61.5,431.4,529.6,481.7,481.6
61.75,431.6,529.9,481.8,481.7
62,431.9,530.1,482,481.8
62.25,432,530.2,482.1,482
62.5,432.1,530.1,482.2,482.1
62.75,432.2,530.4,482.3,482.2
63,432.3,530.4,482.5,482.3
63.25,432.3,530.7,482.6,482.4
63.5,432.5,530.7,482.7,482.6
63.75,432.6,530.9,482.8,482.7
64,432.8,530.9,483,482.8
64.25,432.8,531.3,483.1,483
64.5,432.9,531.3,483.2,483.1
64.75,433.1,531.4,483.3,483.2
65,433.2,531.5,483.5,483.3
65.25,433.4,531.6,483.6,483.5
65.5,433.4,531.8,483.7,483.6
65.75,433.6,532,483.8,483.7
66,433.7,532,484,483.8
66.25,434,532.1,484.1,484
66.5,433.8,532.2,484.2,484.1
66.75,434,532.6,484.3,484.2
67,434.3,532.7,484.4,484.3
67.25,434.5,532.9,484.6,484.5
67.5,434.5,532.8,484.7,484.6
67.75,434.4,532.4,484.8,484.7
68,434.5,532.6,485,484.8
68.25,434.7,533,485.1,484.9
68.5,435,533.4,485.2,485.1
68.75,435.2,533.4,485.3,485.2
69,435.3,533.6,485.4,485.3
69.25,435.4,533.9,485.6,485.5
69.5,435.6,533.5,485.7,485.6
69.75,435.7,533.5,485.8,485.7
70,435.8,533.8,486,485.8
