cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.25,-65,-62.7,2,1
0.25,0.5,-62.7,-60.9,0.75,2
0.5,0.75,-60.9,-57.8,0.75,0
0.75,1,-57.8,-54.8,0.5,4
1,1.25,-54.8,-51.9,2.5,1
1.25,1.5,-51.9,-49.1,2.5,3
1.5,1.75,-49.1,-46.2,2,0
1.75,2,-46.2,-43.6,2,0
2,2.25,-43.6,-40.7,2,1
2.25,2.5,-40.7,-38.4,1,1
2.5,2.75,-38.4,-35.5,3,0
2.75,3,-35.5,-32.9,1,2
3,3.25,-32.9,-30.2,2,0
3.25,3.5,-30.2,-27.3,1,0
3.5,3.75,-27.3,-24.7,1.5,1
3.75,4,-24.7,-22,3,1
4,4.25,-22,-19.7,2,0
4.25,4.5,-19.7,-17.4,1,0
4.5,4.75,-17.4,-15.1,2,0
4.75,5,-15.1,-12.9,1,0
5,5.25,-12.9,-10.5,3,0
5.25,5.5,-10.5,-8.4,3,0
5.5,5.75,-8.4,-5.8,3,1
5.75,6,-5.8,-3.5,3,0
6,6.25,-3.5,-1.5,3,1
6.25,6.5,-1.5,0.5,3,0
6.5,6.75,0.5,2.7,3,0
6.75,7,2.7,4.7,3,0
7,7.25,4.7,6.9,3,0
7.25,7.5,6.9,8.9,3,1
7.5,7.75,8.9,11,3,0
7.75,8,11,13,3,0
8,8.25,13,15.2,3,0
8.25,8.5,15.2,17.4,3,0
8.5,8.75,17.4,19.4,3,1
8.75,9,19.4,21.4,3,0
9,9.25,21.4,23.7,3,1
9.25,9.5,23.7,25.9,3,0
9.5,9.75,25.9,28.1,3,0
9.75,10,28.1,30.1,3,1
10,10.25,30.1,32,3,0
10.25,10.5,32,34.1,3,0
10.5,10.75,34.1,36.3,3,0
10.75,11,36.3,38.3,3,0
11,11.25,38.3,40.5,3,8
11.25,11.5,40.5,42.6,3,2
11.5,11.75,42.6,44.8,3,19
11.75,12,44.8,46.9,3,6
12,12.25,46.9,49,3,0
12.25,12.5,49,51.2,3,24
12.5,12.75,51.2,53.3,3,4
12.75,13,53.3,55.5,3,4
13,13.25,55.5,57.7,3,11
13.25,13.5,57.7,60,3,11
13.5,13.75,60,62.1,3,4
13.75,14,62.1,64.2,3,9
14,14.25,64.2,66.3,3,6
14.25,14.5,66.3,68.1,3,4
14.5,14.75,68.1,70.3,3,8
14.75,15,70.3,72.3,3,3
15,15.25,72.3,74.5,3,20
15.25,15.5,74.5,76.8,3,4
15.5,15.75,76.8,79,3,3
15.75,16,79,81.2,3,1
16,16.25,81.2,83.3,3,4
16.25,16.5,83.3,85.4,3,1
16.5,16.75,85.4,87.7,3,1
16.75,17,87.7,89.9,3,0
17,17.25,89.9,92.2,3,0
17.25,17.5,92.2,94.3,3,2
17.5,17.75,94.3,96.4,3,1
17.75,18,96.4,98.6,3,3
18,18.25,98.6,100.8,3,2
18.25,18.5,100.8,102.9,3,8
18.5,18.75,102.9,105,3,2
18.75,19,105,107,3,0
19,19.25,107,109.4,3,4
19.25,19.5,109.4,111.5,3,2
19.5,19.75,111.5,113.8,3,2
19.75,20,113.8,116.1,-999,-999
20,20.25,116.1,118.2,3,2
20.25,20.5,118.2,120.3,3,1
20.5,20.75,120.3,122.4,3,4
20.75,21,122.4,124.7,3,0
21,21.25,124.7,126.9,3,3
21.25,21.5,126.9,129.2,3,5
21.5,21.75,129.2,131.4,3,3
21.75,22,131.4,133.5,3,4
22,22.25,133.5,135.9,3,0
22.25,22.5,135.9,138.1,3,1
22.5,22.75,138.1,140.4,3,0
22.75,23,140.4,142.4,3,0
23,23.25,142.4,144.7,3,3
23.25,23.5,144.7,146.8,3,0
23.5,23.75,146.8,149.2,3,9
23.75,24,149.2,151.6,3,4
24,24.25,151.6,153.9,3,10
24.25,24.5,153.9,156.2,3,4
24.5,24.75,156.2,158.5,3,12
24.75,25,158.5,160.6,3,5
25,25.25,160.6,162.8,3,5
25.25,25.5,162.8,164.9,3,0
25.5,25.75,164.9,167.2,3,0
25.75,26,167.2,169.5,3,0
26,26.25,169.5,171.7,3,0
26.25,26.5,171.7,173.8,3,0
26.5,26.75,173.8,176,3,1
26.75,27,176,178.5,3,3
27,27.25,178.5,180.9,3,40
27.25,27.5,180.9,183.1,3,20
27.5,27.75,183.1,185.2,3,43
27.75,28,185.2,187.5,3,140
28,28.25,187.5,189.6,3,73
28.25,28.5,189.6,191.8,3,49
28.5,28.75,191.8,194,3,25
28.75,29,194,196,3,6
29,29.25,196,198.3,3,1
29.25,29.5,198.3,200.4,3,14
29.5,29.75,200.4,202.7,3,3
29.75,30,202.7,205,3,0
30,30.25,205,207.3,3,1
30.25,30.5,207.3,209.5,3,0
30.5,30.75,209.5,211.5,3,7
30.75,31,211.5,213.5,3,8
31,31.25,213.5,215.8,3,4
31.25,31.5,215.8,217.9,3,30
31.5,31.75,217.9,220.1,3,15
31.75,32,220.1,222.3,3,8
