cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-65,-63.8,2,1
0.5,1,-63.8,-61.8,1,0
1,1.5,-61.8,-60,1,0
1.5,2,-60,-58.1,1,0
2,2.5,-58.1,-56.2,0.5,0
2.5,3,-56.2,-54.3,2,3
3,3.5,-54.3,-52.4,NA,NA
3.5,4,-52.4,-50.5,0.5,1
4,4.5,-50.5,-48.3,2,0
4.5,5,-48.3,-46.1,1,0
5,5.5,-46.1,-43.9,2,1
5.5,6,-43.9,-41.8,2,0
6,6.5,-41.8,-39.4,2,0
6.5,7,-39.4,-36.7,1,1
7,7.5,-36.7,-33.7,1,0
7.5,8,-33.7,-30.8,1,0
8,8.5,-30.8,-28,1,0
8.5,9,-28,-25.1,1,0
9,9.5,-25.1,-22.5,1,2
9.5,10,-22.5,-20,1,0
10,10.5,-20,-15.3,1,0
10.5,11,-15.3,-9.8,2,1
11,11.5,-9.8,-3.9,1,1
11.5,12,-3.9,2.2,1,0
12,12.5,2.2,8.4,1,0
12.5,13,8.4,14.2,1,0
13,13.5,14.2,19.9,1,0
13.5,14,19.9,25.7,1,0
14,14.5,25.7,38.8,1,0
14.5,15,38.8,57.6,1,1
15,15.5,57.6,77.8,2,3
15.5,16,77.8,98.5,2,1
16,16.5,98.5,118.7,2,4
16.5,17,118.7,141.1,2,5
17,17.5,141.1,161.9,2,1
17.5,18,161.9,184,2,3
18,18.5,184,204.7,2,2
18.5,19,204.7,224.7,2,1
19,19.5,224.7,246.9,2,1
19.5,20,246.9,267.6,2,1
20,20.5,267.6,288.4,2,1
20.5,21,288.4,308.8,2,0
21,21.5,308.8,330.6,2,2
21.5,22,330.6,352.3,2,1
22,22.5,352.3,374.9,2,1
22.5,23,374.9,395.1,2,5
23,23.5,395.1,416.5,2,4
23.5,24,416.5,437.3,2,2
24,24.5,437.3,458.9,2,3
24.5,25.5,458.9,500.6,1,4
25.5,26.5,500.6,544.6,1,5
26.5,27.5,544.6,587.3,1,2
27.5,28.5,587.3,630.9,1,0
28.5,29.5,630.9,672.6,2,0
29.5,30,672.6,694.3,2,1
30,30.25,694.3,704.7,2,0
30.25,30.5,704.7,715.5,3,2
30.5,30.75,715.5,725.6,3,2
30.75,31,725.6,737.1,3,1
31,31.25,737.1,747.5,3,0
31.25,31.5,747.5,757.6,3,0
31.5,31.75,757.6,768.4,2,2
31.75,32,768.4,778.7,3,4
32,32.25,778.7,789.8,2,2
32.25,32.5,789.8,799.8,1,3
32.5,32.75,799.8,810.6,2,2
32.75,33,810.6,821.1,2,4
33,33.25,821.1,831.9,3,4
33.25,33.5,831.9,842.5,2,1
33.5,33.75,842.5,853.4,1,0
33.75,34,853.4,864.1,3,6
34,34.25,864.1,874.6,1,1
34.25,34.5,874.6,885,3,2
34.5,34.75,885,896.3,3,1
34.75,35,896.3,907,2,0
35,35.25,907,917.8,3,2
35.25,35.5,917.8,928.3,3,1
35.5,35.75,928.3,938.9,2.5,6
35.75,36,938.9,949.2,3,1
36,36.25,949.2,960.1,3,1
36.25,36.5,960.1,971,3,0
36.5,36.75,971,980.8,3,3
36.75,37,980.8,991.4,3,2
37,37.25,991.4,1002.4,2,0
37.25,37.5,1002.4,1013.6,3,1
37.5,37.75,1013.6,1024.6,1,0
37.75,38,1024.6,1036,3,2
38,38.25,1036,1046.1,3,6
38.25,38.5,1046.1,1056.9,3,13
38.5,38.75,1056.9,1060,3,18
38.75,39,1060,1076.3,3,16
39,39.25,1076.3,1076.7,3,23
39.25,39.5,1076.7,1077.1,3,6
39.5,39.75,1077.1,1077.3,3,11
39.75,40,1077.3,1079.2,3,5
