cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-65,-59.9,0.5,1
0.5,1,-59.9,-54.5,0.5,21
1,1.5,-54.5,-38.3,3,12
1.5,1.75,-38.3,-29.9,1,0
1.75,2,-29.9,-21.1,2,0
2,2.25,-21.1,-6.6,2,0
2.25,2.5,-6.6,7.7,3,28
2.5,2.75,7.7,17.3,3,6
2.75,3,17.3,26.6,2,7
3,3.25,26.6,32.8,3,6
3.25,3.5,32.8,38.1,2,0
3.5,3.75,38.1,42.4,1,0
3.75,4,42.4,46.4,2,2
4,4.25,46.4,50.2,3,0
4.25,4.5,50.2,53.5,3,0
4.5,4.75,53.5,57.4,3,0
4.75,5,57.4,61,3,0
5,5.25,61,64.7,3,0
5.25,5.5,64.7,68.4,3,0
5.5,5.75,68.4,72,2,0
5.75,6,72,75.4,3,0
6,6.25,75.4,79.4,3,0
6.25,6.5,79.4,83.1,3,1
6.5,6.75,83.1,86.9,3,0
6.75,7,86.9,90.5,3,0
7,7.25,90.5,94.1,3,2
7.25,7.5,94.1,97.7,3,0
7.5,7.75,97.7,101.4,3,0
7.75,8,101.4,104.8,3,0
8,8.25,104.8,108.5,3,1
8.25,8.5,108.5,112,3,0
8.5,8.75,112,115.6,3,1
8.75,9,115.6,119.3,3,1
9,9.25,119.3,123.1,3,2
9.25,9.5,123.1,126.9,3,0
9.5,9.75,126.9,130.8,3,0
9.75,10,130.8,134.7,3,1
10,10.25,134.7,138.7,3,19
10.25,10.5,138.7,142.6,2,9
10.5,10.75,142.6,146.3,3,10
10.75,11,146.3,150.2,3,5
11,11.25,150.2,153.9,3,6
11.25,11.5,153.9,157.8,3,4
11.5,11.75,157.8,161.2,2,0
11.75,12,161.2,165,3,1
12,12.25,165,168.8,3,0
12.25,12.5,168.8,172.8,3,0
12.5,12.75,172.8,176.2,3,1
12.75,13,176.2,179.9,3,0
13,13.25,179.9,183.6,3,0
13.25,13.5,183.6,187.4,3,0
13.5,13.75,187.4,191.2,3,0
13.75,14,191.2,194.9,3,0
14,14.25,194.9,198.7,3,1
14.25,14.5,198.7,202.6,3,0
14.5,14.75,202.6,206.4,3,0
14.75,15,206.4,209.8,3,2
15,15.25,209.8,214,3,1
15.25,15.5,214,218.1,3,7
15.5,15.75,218.1,221.6,3,1
15.75,16,221.6,225.5,3,1
16,16.25,225.5,229.5,3,4
16.25,16.5,229.5,233.2,3,2
16.5,16.75,233.2,236.9,3,0
16.75,17,236.9,240.8,3,2
17,17.25,240.8,244.5,2,0
17.25,17.5,244.5,248.2,3,0
17.5,17.75,248.2,251.9,3,1
17.75,18,251.9,255.5,3,0
18,18.25,255.5,259.4,3,1
18.25,18.5,259.4,263.3,3,3
18.5,18.75,263.3,267,3,11
18.75,19,267,270.9,3,7
19,19.25,270.9,274.6,3,2
19.25,19.5,274.6,278.2,2,1
19.5,19.75,278.2,281.9,3,2
19.75,20,281.9,285.6,3,2
20,20.25,285.6,289.3,3,3
20.25,20.5,289.3,292.7,2,12
20.5,20.75,292.7,296.6,3,1
20.75,21,296.6,300.6,3,2
21,21.25,300.6,304,3,1
21.25,21.5,304,307.7,2,1
21.5,21.75,307.7,311.5,3,4
21.75,22,311.5,315.1,3,0
22,22.25,315.1,319,2,3
22.25,22.5,319,322.7,2,0
22.5,22.75,322.7,326.3,3,0
22.75,23,326.3,329.9,3,2
23,23.25,329.9,333.5,3,2
23.25,23.5,333.5,337.3,3,2
23.5,23.75,337.3,340.8,3,2
23.75,24,340.8,344.6,3,2
24,24.25,344.6,348.3,3,3
24.25,24.5,348.3,352.1,3,3
24.5,24.75,352.1,355.9,3,0
24.75,25,355.9,359.8,2,0
25,25.25,359.8,363.7,3,0
25.25,25.5,363.7,367.8,3,0
25.5,25.75,367.8,371.4,2,1
25.75,26,371.4,375.2,2,0
26,26.25,375.2,378.7,2,0
26.25,26.5,378.7,382.1,2,0
26.5,26.75,382.1,385.9,2,0
26.75,27,385.9,389.6,2,1
27,27.25,389.6,393.3,2,0
27.25,27.5,393.3,397.3,2,4
27.5,27.75,397.3,400.7,2,4
27.75,28,400.7,404.5,1,0
28,28.25,404.5,408.1,2,3
28.25,28.5,408.1,411.9,2,0
28.5,28.75,411.9,415.6,2,0
28.75,29,415.6,419.4,2,0
29,29.25,419.4,423.3,2,3
29.25,29.5,423.3,427.1,2,0
29.5,29.75,427.1,431,2,1
29.75,30,431,434.8,2,0
30,30.25,434.8,438.2,2,2
30.25,30.5,438.2,442.1,2,0
30.5,30.75,442.1,445.7,2,1
30.75,31,445.7,449.5,2,0
31,31.25,449.5,453.4,2,0
31.25,31.5,453.4,457.3,2,0
31.5,31.75,457.3,460.7,2,0
31.75,32,460.7,465.1,2,1
