lake,coreDepthTop,coreDepthBot,ageTop,ageBot,charCount,volume,charConc,charAcc,charBkg,charPeak,thresh1,thresh2,thres3,treshPos,threshNeg,SNI,threshGOF,peaks1,peaks2,peaks3,peaksFinal,peaksInsig,peakMag,smPeak
BB15,0,0.57258,-65,-60,1.18,1.325,1.19,0.13627,0.026608,0.10967,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.834
BB15,0.57258,0.98333,-60,-55,2.24,0.61,4.48,0.36803,0.028781,0.33925,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,1,1,0,1,0,0.05172,1.7154
BB15,0.98333,1.4196,-55,-50,1.88,2.42,1.008,0.08796,0.030984,0.056976,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.5961
BB15,1.4196,1.8654,-50,-45,0.54,2.09,0.216,0.019256,0.033211,-0.013955,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.4761
BB15,1.8654,2.3261,-45,-40,0.72,1.86,0.43,0.03962,0.035459,0.0041614,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.3557
BB15,2.3261,2.7981,-40,-35,0.52,2.16,0.52,0.049087,0.037722,0.011365,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.2351
BB15,2.7981,3.2672,-35,-30,0.84,1.54,0.84,0.07882,0.039993,0.038826,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.1149
BB15,3.2672,3.7212,-30,-25,0.46,1.23,0.30667,0.02784,0.042268,-0.014428,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.99551
BB15,3.7212,4.2174,-25,-20,0.6,2.51,0.22,0.021834,0.044538,-0.022704,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.87794
BB15,4.2174,4.7614,-20,-15,0,1.52,0,0,0.046796,-0.046796,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.763
BB15,4.7614,5.3095,-15,-10,0,2.16,0,0,0.049034,-0.049034,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.65068
BB15,5.3095,5.837,-10,-5,0.52,3,0.17333,0.018284,0.051245,-0.032961,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.58079
BB15,5.837,6.4375,-5,0,0.4,3,0.13333,0.016014,0.053424,-0.037409,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.53416
BB15,6.4375,7.0341,0,5,0,3,0,0,0.055565,-0.055565,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.50803
BB15,7.0341,7.631,5,10,0.4,3,0.13333,0.015916,0.057664,-0.041748,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.50006
BB15,7.631,8.2273,10,15,0,3,0,0,0.059719,-0.059719,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.50915
BB15,8.2273,8.825,15,20,0.4,3,0.13333,0.015939,0.061729,-0.04579,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.53542
BB15,8.825,9.3977,20,25,0.46,3,0.15333,0.017564,0.063697,-0.046133,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.57957
BB15,9.3977,9.9875,25,30,0.38,3,0.12667,0.014941,0.065627,-0.050687,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.64113
BB15,9.9875,10.6023,30,35,0.02,3,0.0066667,0.0008197,0.06753,-0.06671,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.71545
BB15,10.6023,11.1932,35,40,2.72,3,0.90667,0.10715,0.06942,0.037731,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.79333
BB15,11.1932,11.7738,40,45,10.24,3,3.4133,0.39638,0.071323,0.32505,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.86419
BB15,11.7738,12.3636,45,50,7.08,3,2.36,0.2784,0.073271,0.20513,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.92209
BB15,12.3636,12.9432,50,55,8.8,3,2.9333,0.34,0.075315,0.26469,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.96373
BB15,12.9432,13.5,55,60,10.3,3,3.4333,0.38235,0.077527,0.30482,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.98824
BB15,13.5,14.0952,60,65,6.42,3,2.14,0.25476,0.080017,0.17474,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.99828
BB15,14.0952,14.7159,65,70,6.04,3,2.0133,0.24992,0.082933,0.16699,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1
BB15,14.7159,15.3043,70,75,10.88,3,3.6267,0.42681,0.085708,0.34111,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,1,1,0,1,0,0.060985,1
BB15,15.3043,15.8636,75,80,2.96,3,0.98667,0.11037,0.088589,0.021777,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.99828
BB15,15.8636,16.4524,80,85,2.26,3,0.75333,0.088704,0.091506,-0.002802,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.98824
BB15,16.4524,17.0109,85,90,0.54,3,0.18,0.020106,0.094399,-0.074293,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.96373
BB15,17.0109,17.5833,90,95,0.98,3,0.32667,0.037401,0.096241,-0.058841,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.92209
BB15,17.5833,18.1591,95,100,2.16,3,0.72,0.082909,0.097902,-0.014993,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.86591
BB15,18.1591,18.75,100,105,4.52,3,1.5067,0.17806,0.099381,0.078679,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.80509
BB15,18.75,19.3214,105,110,2.16,3,0.72,0.082286,0.10071,-0.018426,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.75
BB15,19.3214,19.8804,110,115,2,3,0.66667,0.074534,0.10192,-0.027388,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.70728
BB15,19.8804,20.4643,115,120,1.64,3,0.54667,0.063834,0.10303,-0.039197,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.67901
BB15,20.4643,21.0341,120,125,1.92,3,0.64,0.072935,0.10406,-0.031123,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.66518
BB15,21.0341,21.5909,125,130,3.92,3,1.3067,0.14552,0.10501,0.040502,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.66867
BB15,21.5909,22.1563,130,135,2.52,3,0.84,0.094977,0.10591,-0.010933,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.69318
BB15,22.1563,22.7065,135,140,0.44,3,0.14667,0.016141,0.10676,-0.090615,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.74156
BB15,22.7065,23.2857,140,145,1.38,3,0.46,0.053286,0.10756,-0.054272,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.81626
BB15,23.2857,23.8333,145,150,4.96,3,1.6533,0.18108,0.10832,0.072755,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,0.91937
BB15,23.8333,24.3696,150,155,6.76,3,2.2533,0.24166,0.10906,0.1326,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.0505
BB15,24.3696,24.9286,155,160,7.98,3,2.66,0.29739,0.10978,0.18761,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.2059
BB15,24.9286,25.5109,160,165,2.8,3,0.93333,0.1087,0.11047,-0.0017757,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.3782
BB15,25.5109,26.0568,165,170,0,3,0,0,0.11114,-0.11114,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.5575
BB15,26.0568,26.6364,170,175,0.24,3,0.08,0.0092727,0.11179,-0.10252,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.7355
BB15,26.6364,27.1563,175,180,13.7,3,4.5667,0.47483,0.11241,0.36241,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,1.9048
BB15,27.1563,27.7262,180,185,32.34,3,10.78,1.2288,0.11302,1.1158,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,2.079
BB15,27.7262,28.2955,185,190,100.7,3,33.5667,3.8217,0.11361,3.7081,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,2.2545
BB15,28.2955,28.875,190,195,29.84,3,9.9467,1.1529,0.11418,1.0387,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,1,1,1,1,0,39.2746,2.4296
BB15,28.875,29.4524,195,200,6.42,3,2.14,0.24712,0.11475,0.13237,0.23717,0.32891,0.42065,0.32891,-0.34011,9.8072,-999,0,0,0,0,0,0,2.604
