lake,coreDepthTop,coreDepthBot,ageTop,ageBot,charCount,volume,charConc,charAcc,charBkg,charPeak,thresh1,thresh2,thres3,treshPos,threshNeg,SNI,threshGOF,peaks1,peaks2,peaks3,peaksFinal,peaksInsig,peakMag,smPeak
SH15,NaN                             ,0.47115,-65,-60,6.06,2.88,2.02,0.19035,0.1094,0.080947,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.6464
SH15,0.47115,0.73039,-60,-55,5.36,2.06,2.57,0.13325,0.1069,0.026349,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.5816
SH15,0.73039,0.98,-55,-50,13.28,2.92,4.4933,0.22431,0.10447,0.11984,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,1,0.153,1.518
SH15,0.98,1.1337,-50,-45,6.64,3,2.2133,0.068047,0.10213,-0.03408,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.4556
SH15,1.1337,1.2798,-45,-40,7.4,3,2.4667,0.072047,0.099855,-0.027808,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.3941
SH15,1.2798,1.4286,-40,-35,13,3,4.3333,0.12897,0.097657,0.031311,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.3332
SH15,1.4286,1.5722,-35,-30,14.04,2.48,5.98,0.17181,0.095535,0.076271,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.2727
SH15,1.5722,1.7111,-30,-25,15,2,7.5,0.20833,0.093487,0.11485,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,1,1,0,1,0,0.12803,1.2122
SH15,1.7111,1.85,-25,-20,7.08,2.72,3.06,0.085,0.09151,-0.0065096,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.1517
SH15,1.85,1.9889,-20,-15,4,3,1.3333,0.037037,0.089598,-0.052561,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.0913
SH15,1.9889,2.1575,-15,-10,0.32,2.08,0.10667,0.0035978,0.087746,-0.084148,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.0349
SH15,2.1575,2.331,-10,-5,0.46,2.46,0.15333,0.0053192,0.085949,-0.080629,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.96818
SH15,2.331,2.5078,-5,0,1.16,3,0.38667,0.013675,0.084201,-0.070527,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.89192
SH15,2.5078,2.7031,0,5,5,3,1.6667,0.065104,0.082502,-0.017398,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.80841
SH15,2.7031,2.911,5,10,4.24,3,1.4133,0.058764,0.08085,-0.022086,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.72084
SH15,2.911,3.1115,10,15,8.06,3,2.6867,0.10775,0.079246,0.028501,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.63208
SH15,3.1115,3.3103,15,20,8.76,3,2.92,0.1161,0.077691,0.038412,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.54393
SH15,3.3103,3.519,20,25,2.64,2.76,0.88,0.036721,0.076186,-0.039465,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.45688
SH15,3.519,3.6772,25,30,0,1,0,0,0.074733,-0.074733,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.37063
SH15,3.6772,3.8571,30,35,2.16,2.08,0.72,0.02591,0.073334,-0.047425,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.28799
SH15,3.8571,4.0402,35,40,4.56,2.72,1.8,0.065911,0.072,-0.0060882,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.21843
SH15,4.0402,4.1839,40,45,6,2,3,0.086207,0.070746,0.015461,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.17208
SH15,4.1839,4.3451,45,50,4.38,2,2.19,0.070589,0.069611,0.00097805,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.15583
SH15,4.3451,4.5165,50,55,2.64,2,1.32,0.045253,0.06867,-0.023417,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.17208
SH15,4.5165,4.6538,55,60,0,2,0,0,0.068076,-0.068076,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.21843
SH15,4.6538,4.7969,60,65,0.6,2,0.3,0.0085817,0.068053,-0.059472,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.28799
SH15,4.7969,4.9531,65,70,2,2,1,0.03125,0.070162,-0.038912,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.37235
SH15,4.9531,5.1017,70,75,3.4,2,1.7,0.050531,0.072613,-0.022082,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.46855
SH15,5.1017,5.2471,75,80,4,2,2,0.05814,0.075292,-0.017153,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.57948
SH15,5.2471,5.3994,80,85,5.96,2,2.98,0.090769,0.078092,0.012677,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.70728
SH15,5.3994,5.55,85,90,5.66,2.34,2.5467,0.076711,0.080888,-0.0041773,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.84953
SH15,5.55,5.6971,90,95,5,3,1.6667,0.04902,0.083543,-0.034523,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1
SH15,5.6971,5.8441,95,100,6.28,3,2.0933,0.061569,0.08594,-0.024371,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.1505
SH15,5.8441,5.9912,100,105,7,3,2.3333,0.068627,0.088017,-0.01939,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.2927
SH15,5.9912,6.1366,105,110,10.76,3,3.5867,0.10434,0.089784,0.014553,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.4205
SH15,6.1366,6.2816,110,115,9.68,3,3.2267,0.093561,0.091285,0.0022764,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.5314
SH15,6.2816,6.4253,115,120,5,3,1.6667,0.047893,0.09257,-0.044677,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.6276
SH15,6.4253,6.5714,120,125,11.72,3,3.9067,0.11419,0.093675,0.02051,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.7137
SH15,6.5714,6.7202,125,130,19,3,6.3333,0.18849,0.09462,0.093872,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,1,1,0,1,0,0.02316,1.7933
SH15,6.7202,6.8676,130,135,9.4,3,3.1333,0.092376,0.095401,-0.0030246,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.8625
SH15,6.8676,7.0151,135,140,8.1,3,2.7,0.079603,0.096004,-0.0164,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.9103
SH15,7.0151,7.1657,140,145,18,3,6,0.18072,0.096418,0.084305,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.9275
SH15,7.1657,7.3147,145,150,28.12,3,9.3733,0.27941,0.096653,0.18275,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.9103
SH15,7.3147,7.4618,150,155,41,3,13.6667,0.40196,0.096727,0.30523,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.8625
SH15,7.4618,7.6016,155,160,35.08,3,11.6933,0.32714,0.096653,0.23049,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.7933
SH15,7.6016,7.739,160,165,33,3,11,0.3022,0.096415,0.20578,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,1,1,1,0,4.5384,1.7137
SH15,7.739,7.8822,165,170,16.44,3,5.48,0.15692,0.095982,0.060935,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,1,0,0,0,0,0,1.6276
SH15,7.8822,8.0256,170,175,13.92,3,4.64,0.13306,0.095325,0.037735,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.5314
SH15,8.0256,8.1676,175,180,9,3,3,0.085227,0.09445,-0.009223,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.4205
SH15,8.1676,8.309,180,185,7.74,3,2.58,0.07295,0.092141,-0.019191,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.2927
SH15,8.309,8.4494,185,190,6,3,2,0.05618,0.090202,-0.034023,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.1505
SH15,8.4494,8.592,190,195,10.48,3,3.4933,0.099571,0.088523,0.011048,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1
SH15,8.592,8.7356,195,200,13,3,4.3333,0.12452,0.087547,0.036974,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.84953
SH15,8.7356,8.8808,200,205,4,3,1.3333,0.038715,0.085946,-0.047231,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.70728
SH15,8.8808,9.0247,205,210,3.18,3,1.06,0.030509,0.084687,-0.054177,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.57948
SH15,9.0247,9.1621,210,215,4,3,1.3333,0.03663,0.083208,-0.046578,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.46855
SH15,9.1621,9.3023,215,220,7.6,3,2.5333,0.071054,0.081532,-0.010479,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.37235
SH15,9.3023,9.4477,220,225,14,3,4.6667,0.13566,0.079712,0.055947,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.28627
SH15,9.4477,9.5889,225,230,8.88,3,2.96,0.083599,0.077851,0.0057477,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.20667
SH15,9.5889,9.7278,230,235,6,3,2,0.055556,0.076108,-0.020552,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.13581
SH15,9.7278,9.8693,235,240,2.64,3,0.88,0.024911,0.074678,-0.049767,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.077913
SH15,9.8693,10.0105,240,245,1.92,3,0.64,0.018075,0.073758,-0.055683,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.03627
SH15,10.0105,10.1421,245,250,1,3,0.33333,0.0087719,0.073499,-0.064727,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.011763
SH15,10.1421,10.2745,250,255,2.26,3,0.75333,0.019941,0.075813,-0.055872,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.0017199
SH15,10.2745,10.4103,255,260,8,3,2.6667,0.072464,0.077077,-0.0046128,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0
SH15,10.4103,10.5483,260,265,7.66,3,2.5533,0.070456,0.078862,-0.008406,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.0017199
SH15,10.5483,10.6903,265,270,7,3,2.3333,0.066288,0.081089,-0.014801,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.011763
SH15,10.6903,10.8315,270,275,2.94,1.84,0.98,0.027659,0.083685,-0.056025,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.03627
SH15,10.8315,10.9719,275,280,0,1,0,0,0.086548,-0.086548,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.077913
SH15,10.9719,11.119,280,285,2.4,2.6,0.8,0.023542,0.089543,-0.066001,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.13581
SH15,11.119,11.2669,285,290,4.8,3,1.6,0.047298,0.092524,-0.045226,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.20667
SH15,11.2669,11.4073,290,295,18,3,6,0.16854,0.095352,0.073188,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.28627
SH15,11.4073,11.5512,295,300,15.28,3,5.0933,0.14659,0.097913,0.048675,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.37063
SH15,11.5512,11.7018,300,305,10,3,3.3333,0.1004,0.10013,0.00027318,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.45679
SH15,11.7018,11.8444,305,310,50.8,3,16.9333,0.48306,0.10196,0.3811,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.54321
SH15,11.8444,11.9833,310,315,70,3,23.3333,0.64815,0.10342,0.54473,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.62937
SH15,11.9833,12.1279,315,320,70.88,3,23.6267,0.68316,0.10454,0.57862,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.71545
SH15,12.1279,12.2727,320,325,79.64,3,26.5467,0.7689,0.10537,0.66353,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.80509
SH15,12.2727,12.4148,325,330,125,3,41.6667,1.1837,0.10434,1.0794,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,0.90046
SH15,12.4148,12.5556,330,335,88.2,2.6,31.6,0.88975,0.10343,0.78632,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1
SH15,12.5556,12.6944,335,340,33,2,16.5,0.45833,0.10281,0.35553,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.0995
SH15,12.6944,12.8333,340,345,45.6,2.6,17.4,0.48333,0.10355,0.37979,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.1949
SH15,12.8333,12.9722,345,350,54,3,18,0.5,0.10439,0.39561,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.2846
SH15,12.9722,13.1111,350,355,44.4,3,14.8,0.41111,0.10533,0.30578,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.3706
SH15,13.1111,13.25,355,360,42,3,14,0.38889,0.10636,0.28253,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,1,1,1,1,0,71.5689,1.4568
SH15,13.25,13.3844,360,365,18,3,6,0.16129,0.10613,0.055162,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.5415
SH15,13.3844,13.5206,365,370,17.16,3,5.72,0.15579,0.10571,0.050077,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.6176
SH15,13.5206,13.6676,370,375,12,3,4,0.11765,0.10509,0.012553,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.6775
SH15,13.6676,13.8132,375,380,10.68,3,3.56,0.10365,0.10432,-0.00067597,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.7154
SH15,13.8132,13.9569,380,385,9,3,3,0.086207,0.10345,-0.017242,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.7284
SH15,13.9569,14.108,385,390,26.5,3,8.8333,0.26699,0.10251,0.16449,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.7154
SH15,14.108,14.2618,390,395,36.16,3,12.0533,0.37062,0.10152,0.2691,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.6775
SH15,14.2618,14.4088,395,400,61,3,20.3333,0.59804,0.1005,0.49754,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.6176
SH15,14.4088,14.5534,400,405,51.12,3,17.04,0.49262,0.099432,0.39319,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.5415
SH15,14.5534,14.6938,405,410,35,3,11.6667,0.32772,0.098328,0.22939,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,1,0,0,0,1.4568
SH15,14.6938,14.8362,410,415,20,3,6.6667,0.18985,0.097181,0.092668,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,1,1,0,1,0,11.1092,1.3706
SH15,14.8362,14.9799,415,420,10,3,3.3333,0.095785,0.095984,-0.00019878,0.05952,0.08924,0.12391,0.08924,-0.1497,11.123,-999,0,0,0,0,0,0,1.2846
