lake,coreDepthTop,coreDepthBot,ageTop,ageBot,charCount,volume,charConc,charAcc,charBkg,charPeak,thresh1,thresh2,thres3,treshPos,threshNeg,SNI,threshGOF,peaks1,peaks2,peaks3,peaksFinal,peaksInsig,peakMag,smPeak
UR15,0,0.25862,-65,-60,6,3,2,0.10345,0.034576,0.068873,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,2.0284
UR15,0.25862,0.51724,-60,-55,6,3,2,0.10345,0.034191,0.069258,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,2.0243
UR15,0.51724,0.78049,-55,-50,5.9,2.8,2.3,0.12109,0.033812,0.087282,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,2.015
UR15,0.78049,1.0814,-50,-45,4.16,1.28,3.88,0.2335,0.033438,0.20007,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,1,1,1,1,0,2.344,2.0006
UR15,1.0814,1.375,-45,-40,1.58,2,0.79,0.04639,0.033071,0.013319,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.9814
UR15,1.375,1.6133,-40,-35,1,1.42,0.79,0.037648,0.032709,0.0049398,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.9585
UR15,1.6133,1.8147,-35,-30,1.3,1.3,1,0.040275,0.032352,0.0079227,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.9333
UR15,1.8147,2.0194,-30,-25,1.86,2,0.93,0.038091,0.032,0.0060906,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.9067
UR15,2.0194,2.1583,-25,-20,1,2,0.5,0.013889,0.031653,-0.017764,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.8801
UR15,2.1583,2.3067,-20,-15,0.66,2,0.33,0.00979,0.031308,-0.021518,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.8536
UR15,2.3067,2.4733,-15,-10,0,2,0,0,0.030966,-0.030966,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.8146
UR15,2.4733,2.6082,-10,-5,1.68,2,0.84,0.022666,0.030627,-0.0079613,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.7408
UR15,2.6082,2.7371,-5,0,2,2,1,0.025773,0.03029,-0.004517,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.6741
UR15,2.7371,2.8872,0,5,7.4,2,3.7,0.11106,0.029957,0.081104,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.6228
UR15,2.8872,3.0293,5,10,6.96,2,3.48,0.098891,0.029627,0.069263,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,1,1,1,1,0,0.50477,1.5915
UR15,3.0293,3.1419,10,15,4,2,2,0.045045,0.029302,0.015743,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.5762
UR15,3.1419,3.2551,15,20,3.96,2,1.98,0.044831,0.028983,0.015848,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.567
UR15,3.2551,3.3827,20,25,3,2,1.5,0.038265,0.02867,0.0095957,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.5565
UR15,3.3827,3.5081,25,30,2.84,2,1.42,0.035635,0.028363,0.0072723,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.5432
UR15,3.5081,3.6098,30,35,1,2,0.5,0.010163,0.028064,-0.017901,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.5298
UR15,3.6098,3.7114,35,40,1,2,0.5,0.010163,0.027771,-1.76E-02,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.5188
UR15,3.7114,3.826,40,45,1.62,2,0.81,0.018565,0.027487,-0.0089218,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.5088
UR15,3.826,3.9485,45,50,2,2,1,0.02451,0.027211,-0.0027008,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.4936
UR15,3.9485,4.05,50,55,7.8,2,3.9,0.079147,0.026944,0.052203,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.4653
UR15,4.05,4.1362,55,60,12,2,6,0.10345,0.02669,0.076759,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,1.4205
