lake,yearCE,month,variable,metric,value,season
NW15,1901,1,temp,mean,-22.20000076,winter
DU15,1901,1,temp,mean,-22.29999924,winter
WE15,1901,1,temp,mean,-22.29999924,winter
UR15,1901,1,temp,mean,-22,winter
BB15,1901,1,temp,mean,-21.89999962,winter
TL15,1901,1,temp,mean,-22,winter
SH15,1901,1,temp,mean,-22.10000038,winter
MA15,1901,1,temp,mean,-22.29999924,winter
NW15,1902,1,temp,mean,-21,winter
DU15,1902,1,temp,mean,-21,winter
WE15,1902,1,temp,mean,-21,winter
UR15,1902,1,temp,mean,-20.79999924,winter
BB15,1902,1,temp,mean,-20.70000076,winter
TL15,1902,1,temp,mean,-20.79999924,winter
SH15,1902,1,temp,mean,-20.89999962,winter
MA15,1902,1,temp,mean,-21.10000038,winter
NW15,1903,1,temp,mean,-24.60000038,winter
DU15,1903,1,temp,mean,-24.79999924,winter
WE15,1903,1,temp,mean,-24.79999924,winter
UR15,1903,1,temp,mean,-24.5,winter
BB15,1903,1,temp,mean,-24.39999962,winter
TL15,1903,1,temp,mean,-24.39999962,winter
SH15,1903,1,temp,mean,-24.5,winter
MA15,1903,1,temp,mean,-24.70000076,winter
NW15,1904,1,temp,mean,-24.70000076,winter
DU15,1904,1,temp,mean,-24.79999924,winter
WE15,1904,1,temp,mean,-24.79999924,winter
UR15,1904,1,temp,mean,-24.5,winter
BB15,1904,1,temp,mean,-24.5,winter
TL15,1904,1,temp,mean,-24.5,winter
SH15,1904,1,temp,mean,-24.60000038,winter
MA15,1904,1,temp,mean,-24.89999962,winter
NW15,1905,1,temp,mean,-16.39999962,winter
DU15,1905,1,temp,mean,-16.5,winter
WE15,1905,1,temp,mean,-16.39999962,winter
UR15,1905,1,temp,mean,-16.20000076,winter
BB15,1905,1,temp,mean,-16.20000076,winter
TL15,1905,1,temp,mean,-16.20000076,winter
SH15,1905,1,temp,mean,-16.29999924,winter
MA15,1905,1,temp,mean,-16.60000038,winter
NW15,1906,1,temp,mean,-33.40000153,winter
DU15,1906,1,temp,mean,-33.29999924,winter
WE15,1906,1,temp,mean,-33.5,winter
UR15,1906,1,temp,mean,-33.09999847,winter
BB15,1906,1,temp,mean,-33,winter
TL15,1906,1,temp,mean,-33.09999847,winter
SH15,1906,1,temp,mean,-33.20000076,winter
MA15,1906,1,temp,mean,-33.5,winter
NW15,1907,1,temp,mean,-16.39999962,winter
DU15,1907,1,temp,mean,-16.5,winter
WE15,1907,1,temp,mean,-16.39999962,winter
UR15,1907,1,temp,mean,-16.20000076,winter
BB15,1907,1,temp,mean,-16.10000038,winter
TL15,1907,1,temp,mean,-16.20000076,winter
SH15,1907,1,temp,mean,-16.29999924,winter
MA15,1907,1,temp,mean,-16.5,winter
NW15,1908,1,temp,mean,-20.5,winter
DU15,1908,1,temp,mean,-20.39999962,winter
WE15,1908,1,temp,mean,-20.29999924,winter
UR15,1908,1,temp,mean,-20.20000076,winter
BB15,1908,1,temp,mean,-20.10000038,winter
TL15,1908,1,temp,mean,-20.29999924,winter
SH15,1908,1,temp,mean,-20.39999962,winter
MA15,1908,1,temp,mean,-20.60000038,winter
NW15,1909,1,temp,mean,-25.39999962,winter
DU15,1909,1,temp,mean,-25.39999962,winter
WE15,1909,1,temp,mean,-25.39999962,winter
UR15,1909,1,temp,mean,-25.20000076,winter
BB15,1909,1,temp,mean,-25.10000038,winter
TL15,1909,1,temp,mean,-25.20000076,winter
SH15,1909,1,temp,mean,-25.29999924,winter
MA15,1909,1,temp,mean,-25.5,winter
NW15,1910,1,temp,mean,-24.5,winter
DU15,1910,1,temp,mean,-24.39999962,winter
WE15,1910,1,temp,mean,-24.39999962,winter
UR15,1910,1,temp,mean,-24.20000076,winter
BB15,1910,1,temp,mean,-24.10000038,winter
TL15,1910,1,temp,mean,-24.29999924,winter
SH15,1910,1,temp,mean,-24.5,winter
MA15,1910,1,temp,mean,-24.60000038,winter
NW15,1911,1,temp,mean,-25.79999924,winter
DU15,1911,1,temp,mean,-25.89999962,winter
WE15,1911,1,temp,mean,-26,winter
UR15,1911,1,temp,mean,-25.60000038,winter
BB15,1911,1,temp,mean,-25.5,winter
TL15,1911,1,temp,mean,-25.60000038,winter
SH15,1911,1,temp,mean,-25.60000038,winter
MA15,1911,1,temp,mean,-25.89999962,winter
NW15,1912,1,temp,mean,-15.30000019,winter
DU15,1912,1,temp,mean,-15.39999962,winter
WE15,1912,1,temp,mean,-15.30000019,winter
UR15,1912,1,temp,mean,-15.10000038,winter
BB15,1912,1,temp,mean,-15.10000038,winter
TL15,1912,1,temp,mean,-15.10000038,winter
