FireName,FireYear,area
MYSTERY,2010,76079497
731006,1987,6765358
FOSSIL RIDGE,1957,8965854
BEAR CREEK,1977,1503333767
NIXON FORK,1957,23973288
Middle Fork Kuskokwim,1951,120708831
LONE MOUNTAIN,2010,208808282
832061,1988,32264105
Roundabout Mountain,1999,23116547
Shiniliaok #2,2005,5907294
Billy Hawk Creek,2004,520449
NIKOLAI SLOUGH-BEAR CREEK,1957,11621739
GALENA N-35,1956,89544198
MT HURST N-10,1959,12442403
MOOSE CRK,1990,605453409
TOLSTOI,1990,15206379
Big Waldren Fork,2005,1284048
GAL NE 45,1990,8569089
Cottonwood Creek,2011,43065
Cottonwood,2010,40067
Broken,1991,12938268
4 Mile Creek,2008,638495
Susu,1986,20993554
Innoko,1986,5244657
CLOUDY MT,1972,8550922
DUDLEY,1970,20285182
Hoho,1988,153794836
Jade Mountains,2010,616321
WLK SE 39,1996,4388188
Mishuk Creek,2010,122749
HSL W 37,1990,27292806
TOBYS CABIN,1972,338002728
Galatea Creek,2002,299045117
831024,1988,106466382
MUD FIRE,1984,40240548
Kalyuh Hill,2005,35955088
Innoko 1,2013,6190959
DISH MOUNTAIN,2011,154613808
George River,2013,2349193
Little,1991,31337649
Big Lake,2009,11685126
Fauna Creek,2010,990194
Noatak River #1,2010,128
Navashak Lake East,2010,36569937
Kiliovilik Range,2010,11057527
Ilemyak River West,2010,69405
Kiliovilik Creek,2010,68997468
Shaleruckik Mt.,1971,2786166
SHUNGNAK SW-5,1959,17314639
Shinilikrok Creek,1999,3634572
PitkikLake,2012,181997
ROKETALOI,1997,119045984
Big Yetna,2004,377421272
IDITAROD SW-8,1957,5041983
Village Creek,2013,523918
REINDEER,1997,142488964
Axel,1972,3003877
Kolmakof River,2013,145033
Goiter Fire,2005,39279479
DCKN190,1993,331787554
S Noatak,1976,3207992
REDUNDANT,1974,54223155
832032,1988,839432545
SALMON RIVER,1959,16661141
DONKEY,1972,73255944
531021,1985,17145308
Hammer Creek #2,2005,12882618
CANE,1972,9795569
IDITAROD #2,1959,25697805
PORCUPINE,1993,1047514
CAMELBACK,1985,15002851
KAI 3,1973,3947431
MCG WSW 72,1994,494156
Kok 35,1997,663055
INOWAK,1997,1978921547
Nekakte Creek,2004,231011
NUYAKUK,1997,81165677
Tagagawik River #3,2009,6901162
Piper,2008,40539
Armstrong,1991,303998
,2001,2803849
,2001,39718
Fish Creek,2007,2453816
WSM NW 10,1988,1188210
Tozitna River,2009,20425522
BTT SE 59,1990,83383331
Canyon Creek,2010,1459754
Mooseheart,2000,585078
32032,1990,3915882
Bear Paw Mountain,2005,27200715
TOK-KAN SW5,1957,33609607
MaguireCreek,1999,483647
MHM SE 36,1993,21289437
Windless,2008,3655
GIRDWOOD,1957,866175
Mothershead,2010,18001
Kuparuk River,2001,3384654
132451,1991,1281011
Jim 1,2005,1504013
SAWTOOTH MOUNTAIN S-6,1957,134312418
Toklat,1951,386539365
31007,1990,2645210
Hay Flats - Fairview Road,1950,29792700
Peninsula,2010,21314
MID Ft Rich Complex,2010,2655050
Blind Luck,2008,57335677
WIEN LAKE,1968,108879449
Slippery Cr.,1997,4006954
JOHNHANSEN LAKE,1968,30209365
ISLAND LAKE,1970,11035805
KURTI FLATS,1972,111198552
Homestead,2008,1002249
Allakaket,2012,10864875
Old Dummy,2005,931174749
RIDGE TOP,1969,1237094832
Kanuti River,2009,12933865
Blind River,2009,503087
King County Creek,2005,40733735
Fox Creek,2005,102629311
Tyonek,2014,7656765
CHICKEN CREEK,2011,440554
Mud Fire 731349,1997,101110657
Crash Creek,2009,116569307
BETTLES #5,1959,9847548
TAL NW 35,1990,51847513
BTT S 56,1988,6281487
31031,1990,12029580
331582,1993,31150348
632097,1986,158982178
AMERICA CREEK,1968,32768642
Mastodon,1974,625952
Sethkokna River,1996,24952835
TELIDA MT,1977,32968021
Bear Island,1986,18677827
Fork,1991,16285376
Hogatza,2013,502810
Helpmejack,2002,414285
Siruk Creek,2010,642606
Helpmejack Hills,2011,480366
Westfork,1974,2004077
Gukhzna Creek,1999,6564711
MHM N 36,1993,916605
Chitanatala,1999,1314967
Highpower Creek,2005,465166158
Castle Rocks,2013,51923716
631010,1986,225702913
Foraker Pond,2009,81390502
MHM S 28,1986,12809104
SWIFT FORK,1977,11020508
TODATONTEN,1981,94942045
Iniakuk River,2005,251216
Hot Springs Creek 1,2007,18879036
Bering Creek,2000,567685391
Little Mud #1,2005,392738
Telsina River,1972,880598
Tanalian Mt. Fire,1953,50486143
Little Underhill,2005,1171049
Moser Bay,1997,59779369
Chip Cove,2002,2132782
Norutak Hills #2,2004,63278955
Kigalik River,2012,8213117
Klikhtentozna Creek,2010,13986509
BTT SW 81,1987,581816
531149,1995,368834
Bakatigikh Mountain,2005,47065769
HUS SW 30,1994,1102420
HUS SW 23,1985,5375042
Nayuka River 2,2010,1022949
Melozi,2012,6973412
HUS S 20,1995,3112217
West Fork,2013,8999598
BLACK SAND,1968,3560942
132241,1991,358899275
Little Mud,2013,105956936
531035,1985,137197631
HOYLE,1990,121250106
NORD,1990,1619383
HARRY,1985,9733238
BIG RIVER,1969,23178565
Sheep Creek,2014,8009265
Fish Lake,2003,426183
613009,1986,16423394
Coleen Mountain,2005,460284900
South Coleen,2007,6962417
Tiinkdhuul,2011,2592049
Chicken #1,2004,1285001045
Bullion Creek,2004,62453922
,2001,626767
Porcupine,2004,1142437370
60 MI BUTTE,1994,752015
FYU NE 80,1985,122666558
Boulder Creek,2004,252772151
Sheenjek 2,2010,5693451
Coleen River,2006,63401366
LADUE RIVER,1994,2030067
SMT S 25,1986,17791043
Judge Creek,2010,5815127
531053,1985,10489514
NATION NE-16,1959,12111767
Mission Creek,2005,135041302
Champion Creek,2004,62567879
10 MILE HILL,1994,682911
Ladue Fork,2013,31973365
Fairplay,2006,4813486
Bitter Creek,2013,9057795
KENNEBEC,1982,129422367
Midway Lake,1998,1988319
FYU S 39,1987,31590780
Preacher Creek,1950,10448743
CEM S 13,1990,29586520
STONE BOY CR,1994,1643835
Tract 12,1984,12228358
EDGERTON,1969,15037638
Preacher Creek,2005,278487125
Crazy,2004,208793644
TEUCHET #3,1990,4872025
Preacher Creek,1951,11537407
Camp Creek,2004,720696156
BUTTE CR,1993,2103159
SAND CREEK,2003,199916575
Henderson,2008,2116624
Rock Slough,2009,249829884
332557,1993,841004810
Rock Slough,1943,22583040
LITTLE OVERFLOW,1969,12004101
WOODCHOPPER W-10,1957,46140929
Cobb Lakes,1942,2750572
Gilahina,2011,5060383
40 Mile Yukon,1953,676643289
Sucker River,2004,335838
732061,1987,5649586
CIRCLE,1979,50231937
Rosa Creek,2008,141906
NINETY EIGHT,1969,197199736
Oklahoma 2,2009,154114658
100 Mile Creek,2014,93392659
BIG W 17,1983,134592366
DTA-Oklahoma Range Rx,2012,32560055
Tulsa Lake,2003,148559
232034,1992,910858
Hillbilly Lake,1996,66043526
Delta Creek,2010,210954
MOUNTAIN CREEK,1969,69502908
Orenzik,1946,3258110
Stevens Village NE 70,1953,23691746
CEM E 55,1991,151745283
22 Mile Tok Road,1947,75423133
Donnelley Training Area East RX,2009,3015207
Deadman Island,1996,139988824
CHRISTIAN VILLAGE SW15,1954,4979152
832093,1988,109083336
Refuge,2004,22341
GRANITE T,1990,13933009
Vrain Mountain,1996,609377
132306,1991,5428504
Stuart Creek 1,2013,1009505
ANACONDA CREEK,1967,5985985
YTA Fall RX pile burning,2010,1554911
MILITARY 1,1976,25598300
CEMWNW93,1993,10726288
WICKERSHAME DOME,1971,55299060
Red Fox,2010,7358
ROCKET 4,1957,698822255
Hastings,2011,92717918
East Buttons #3,2005,1150248
BTT ENE 71,1977,11386041
FYU W 97,1991,1034624
O`Keefe Hills,2005,345659
FYU NW 92,1988,83899528
LIV N 18,1991,194779363
Dall River,2000,3389973
Mud Fork II,2004,27864623
Cascaden Ridge,2010,60885447
Tolovana Flats,2000,14621228
Bull Creek,2003,255870
Beaver Creek,2004,596594
Engineer Hill,1999,1097739
Eielson,1987,36853536
Kanuti,2013,386794
Gold Creek,1997,3623376
Small Arms Range,1999,1641244
Chena Lakes Flood Plain RX,2010,1630381
331691,1993,371342
BEAVER CREEK,1956,29516790
VEE SW 24,1991,72976038
MCCORD CREEK,2011,30954605
