FireName,FireYear,area
Nowitna #3,1953,6
Nowitna #3,1953,286
Nowitna #3,1953,693
Nowitna #3,1953,1648
Nowitna #3,1953,10460
Nowitna #3,1953,13399
Nowitna #3,1953,52482
Nowitna #3,1953,85319
Nowitna #3,1953,98575
Nowitna #3,1953,107859
Nowitna #3,1953,125113
Nowitna #3,1953,231960
Nowitna #3,1953,284024
Nowitna #3,1953,566414
Nowitna #3,1953,758693
Nowitna #3,1953,1011755
Nowitna #3,1953,1200044
Nowitna #3,1953,1339771
Nowitna #3,1953,1732382
Nowitna #3,1953,2136723
Nowitna #3,1953,2517850
Nowitna #3,1953,2725072
Nowitna #3,1953,3867843
Nowitna #3,1953,7094797
Nowitna #3,1953,13289354
Nowitna #3,1953,39886505
Nowitna #3,1953,42931311
Nowitna #3,1953,128259569
Nowitna #3,1953,148475960
Nowitna,1954,1
Nowitna,1954,17177
Nowitna,1954,36253
Nowitna,1954,43716
Nowitna,1954,462151
Nowitna,1954,556106
Nowitna,1954,706419
Nowitna,1954,795040
Nowitna,1954,936371
Nowitna,1954,942348
Nowitna,1954,5560103
Nowitna,1954,9128898
Nowitna,1954,11227823
Nowitna,1954,37074241
Nowitna,1954,37216958
Nowitna,1954,39474188
Nowitna,1954,104661210
DUBLI #2,1956,18008436
DUBLI #2,1956,234442473
INNOKO #2,1957,59
TITNA,1957,71
FOSSIL RIDGE,1957,110
TITNA,1957,166
TITNA,1957,1142
TITNA,1957,2872
VON FRANK,1957,3049
TITNA,1957,3447
INNOKO #2,1957,4277
TITNA,1957,4312
INNOKO #2,1957,12101
TITNA,1957,16020
INNOKO #2,1957,50817
INNOKO #2,1957,51968
TITNA,1957,53989
TITNA,1957,69943
TITNA,1957,126418
INNOKO #2,1957,179661
INNOKO #2,1957,234199
TITNA,1957,235358
TITNA,1957,253728
INNOKO #2,1957,254363
INNOKO #2,1957,259295
TITNA,1957,279127
INNOKO #2,1957,306627
TITNA,1957,349474
TITNA,1957,411475
TITNA,1957,496977
VON FRANK,1957,673954
INNOKO #2,1957,716879
FOSSIL RIDGE,1957,953111
BIRCHES SW-10,1957,977650
INNOKO #2,1957,1161767
TITNA,1957,1333211
INNOKO #2,1957,1557184
TITNA,1957,1608288
FOSSIL RIDGE,1957,1951070
INNOKO #2,1957,2017870
INNOKO #2,1957,2729063
TITNA,1957,3019401
TITNA,1957,3360028
TITNA,1957,4514685
VON FRANK,1957,4801049
BIRCHES SW-10,1957,5613067
TITNA,1957,5749844
FOSSIL RIDGE,1957,6061563
TITNA,1957,9550487
VON FRANK,1957,14605193
SUNSHINE MT.,1957,22928117
TITNA,1957,27248281
SUNSHINE MT.,1957,29718637
INNOKO #2,1957,70328690
TITNA,1957,182863500
TITNA,1957,213890404
INNOKO #2,1957,231174233
TELIDA LAKE,1958,99421
TELSITNA RIVER,1958,213554
TELIDA LAKE,1958,538613
TELSITNA RIVER,1958,809169
TELIDA LAKE,1958,842694
TELIDA LAKE,1958,1320480
MINCHUMINA NW-25,1958,1568326
TELSITNA RIVER,1958,1679716
TELIDA LAKE,1958,1839269
TELSITNA RIVER,1958,2864954
TELIDA LAKE,1958,7089661
MINCHUMINA NW-25,1958,94273051
BIG CREEK,1959,11
TELSITNA #2,1959,554
KOKRINES NW-19,1959,1125
BIG CREEK,1959,2767
TELSITNA #2,1959,24455
KOKRINES NW-19,1959,24885
KOKRINES NW-19,1959,42160
BIG CREEK,1959,150373
TELSITNA #2,1959,162474
KOKRINES NW-19,1959,177993
BIG CREEK,1959,316787
KOKRINES NW-19,1959,495601
TELSITNA #2,1959,964481
KOKRINES NW-19,1959,1037809
TELSITNA #2,1959,3026580
KOKRINES NW-19,1959,4314379
KOKRINES NW-19,1959,5157329
TELSITNA #2,1959,8971116
KOKRINES NW-19,1959,10218964
KOKRINES NW-19,1959,13817476
KOKRINES NW-19,1959,19442437
BIG CREEK,1959,28326373
BIG CREEK,1959,75537539
NOWITNA,1966,2882
NOWITNA,1966,3138
NOWITNA,1966,10757
NOWITNA,1966,22445
NOWITNA,1966,61811
NOWITNA,1966,69792
NOWITNA,1966,180449
NOWITNA,1966,573677
NOWITNA,1966,17762253
NOWITNA,1966,187890392
LAWSON CREEK,1968,66
LAWSON CREEK,1968,143
GRAND CREEK,1968,537
LAWSON CREEK,1968,1063
HIDDEN CREEK,1968,1467
LAWSON CREEK,1968,1734
MELOZI SPRINGS,1968,3052
BLACK SAND,1968,3186
LAWSON CREEK,1968,3259
LAWSON CREEK,1968,4024
REDLAND LAKE,1968,4741
GRAND CREEK,1968,6190
LAWSON CREEK,1968,6440
LAWSON CREEK,1968,9030
LAWSON CREEK,1968,9464
LAWSON CREEK,1968,11146
LAWSON CREEK,1968,15746
LAWSON CREEK,1968,18892
BLACK SAND,1968,23292
LAWSON CREEK,1968,32189
LAWSON CREEK,1968,65548
HURTEN,1968,67533
BLACK SAND,1968,69282
MELOZI SPRINGS,1968,79065
LAWSON CREEK,1968,80303
LAWSON CREEK,1968,105046
HURTEN,1968,106696
MELOZI SPRINGS,1968,128929
LAWSON CREEK,1968,130543
AMERICA CREEK,1968,130693
REDLAND LAKE,1968,130935
HURTEN,1968,179661
REDLAND LAKE,1968,206524
GRAND CREEK,1968,207334
REDLAND LAKE,1968,227812
HURTEN,1968,234199
HIDDEN CREEK,1968,292780
REDLAND LAKE,1968,344858
GRAND CREEK,1968,350101
LAWSON CREEK,1968,380286
AMERICA CREEK,1968,463899
REDLAND LAKE,1968,495557
MELOZI SPRINGS,1968,495601
REDLAND LAKE,1968,528304
BLACK SAND,1968,687136
GRAND CREEK,1968,812359
LAWSON CREEK,1968,902834
LAWSON CREEK,1968,979318
MELOZI SPRINGS,1968,1007535
MELOZI SPRINGS,1968,1037809
GRAND CREEK,1968,1126724
AMERICA CREEK,1968,1142325
LAWSON CREEK,1968,1489433
LAWSON CREEK,1968,1508859
HURTEN,1968,1557184
LAWSON CREEK,1968,1889649
MELOZI SPRINGS,1968,1903133
MELOZI SPRINGS,1968,2017342
BLACK SAND,1968,2778044
REDLAND LAKE,1968,3396733
HAYSTACK MT,1968,3730694
MELOZI SPRINGS,1968,4314379
HURTEN,1968,4746957
KETLKEDE CREEK,1968,5103010
MELOZI SPRINGS,1968,5157329
LAWSON CREEK,1968,7343101
LAWSON CREEK,1968,7624729
YUKI RIVER,1968,8486515
REDLAND LAKE,1968,9188451
MELOZI SPRINGS,1968,10218964
MELOZI SPRINGS,1968,10829030
LAWSON CREEK,1968,11740124
LAWSON CREEK,1968,19243605
OUR,1968,21700214
MELOZI SPRINGS,1968,22492453
GRAND CREEK,1968,22618953
REDLAND LAKE,1968,29758226
AMERICA CREEK,1968,31031725
GRAND CREEK,1968,31244506
REDLAND LAKE,1968,33059389
HIDDEN CREEK,1968,34788691
HAYSTACK MT,1968,71466215
LAWSON CREEK,1968,84285550
LAWSON,1969,166
VON FRANK,1969,672
LAWSON,1969,2158
BONEY,1969,3209
LAWSON,1969,3610
VON FRANK,1969,5317
LAWSON,1969,27953
BAKER CREEK,1969,126418
VON FRANK,1969,132563
LAWSON,1969,182678
LAWSON,1969,225378
BONEY,1969,240025
LAWSON,1969,279127
