yearCE,temp
800,7.685
801,7.427
802,7.062
803,7.133
804,7.153
805,7.653
806,7.872
807,7.976
808,8.435
809,8.036
810,7.685
811,8.298
812,7.358
813,8.061
814,7.311
815,7.532
816,7.149
817,7.591
818,7.516
819,8.161
820,7.669
821,7.646
822,8.861
823,7.484
824,6.756
825,6.839
826,6.912
827,6.341
828,6.804
829,7.213
830,6.798
831,7.534
832,7.634
833,8.79
834,8.07
835,6.893
836,6.761
837,6.886
838,6.54
839,6.636
840,7.055
841,7.523
842,8.061
843,7.769
844,7.842
845,7.194
846,7.628
847,7.461
848,8.225
849,7.039
850,7.488
851,6.674
852,6.889
853,6.321
854,6.383
855,6.9
856,6.2
857,7.694
858,7.81
859,7.933
860,7.764
861,7.696
862,7.338
863,6.827
864,6.136
865,6.503
866,6.294
867,6.497
868,6.859
869,6.672
870,7.233
871,7.564
872,7.815
873,8.198
874,8.134
875,7.803
876,8.079
877,7.559
878,7.566
879,6.875
880,7.39
881,8.011
882,8.604
883,7.951
884,7.386
885,7.999
886,8.027
887,6.768
888,6.519
889,6.946
890,6.77
891,7.229
892,8.173
893,8.526
894,8.891
895,8.72
896,7.379
897,6.77
898,6.845
899,7.112
900,6.918
901,7.028
902,7.171
903,6.747
904,7.201
905,7.349
906,7.035
907,7.637
908,7.085
909,6.896
910,7.356
911,7.878
912,7.443
913,7.413
914,7.869
915,8.093
916,7.34
917,7.609
918,7.885
919,7.867
920,7.244
921,6.791
922,6.743
923,7.322
924,7.555
925,7.577
926,7.673
927,7.997
928,7.639
929,8.444
930,8.341
931,8.054
932,8.309
933,8.052
934,7.415
935,8.02
936,8.216
937,8.341
938,8.088
939,7.748
940,6.77
941,7.4
942,7.491
943,8.647
944,9.098
945,8.804
946,8.576
947,8.175
948,8.893
949,9.117
950,8.065
951,7.217
952,6.827
953,6.871
954,7.65
955,8.629
956,9.47
957,9.452
958,8.031
959,8.166
960,8.423
961,8.597
962,9.199
963,8.638
964,9.069
965,9.24
966,9.094
967,9.422
968,8.964
969,6.585
970,5.844
971,6.047
972,6.647
973,7.153
974,8.204
